gene_id	transcript_id	gene_name	gene_type	Promoter	UTR5	CDS	UTR3	Stop Codon	Intron	Transcript	peakDetail	Sample
ENSMUSG00000000876.11	ENSMUST00000000896.10	Pxmp4	protein_coding	0	0	0	1	0	0	1	chr2:154585908-154586182|Locus_12759	group1
ENSMUSG00000000881.12	ENSMUST00000000901.12	Dlg3	protein_coding	0	1	1	0	1	0	2	chrX:100767772-100767846|Locus_11982,chrX:100815273-100816866|Locus_11983	group1
ENSMUSG00000000915.15	ENSMUST00000000939.14	Hip1r	protein_coding	0	0	0	3	1	0	3	chr5:124002240-124002564|Locus_10367,chr5:124004765-124004864|Locus_10368,chr5:124004766-124004865|Locus_11043	group1
ENSMUSG00000000959.6	ENSMUST00000000985.6	Oxa1l	protein_coding	0	0	1	0	1	0	1	chr14:54368400-54368724|Locus_14534	group1
ENSMUSG00000000976.13	ENSMUST00000001002.7	Heatr6	protein_coding	0	0	1	0	1	0	1	chr11:83781211-83781785|Locus_6373	group1
ENSMUSG00000001016.12	ENSMUST00000001042.9	Ilf2	protein_coding	0	0	1	2	1	0	3	chr3:90488101-90488350|Locus_5327,chr3:90487558-90487982|Locus_14035,chr3:90488108-90488379|Locus_14036	group1
ENSMUSG00000020715.9	ENSMUST00000001059.8	Ern1	protein_coding	0	0	1	0	1	0	1	chr11:106398275-106398674|Locus_16855	group1
ENSMUSG00000001052.15	ENSMUST00000001079.14	Sec24b	protein_coding	0	0	2	0	1	0	2	chr3:130041156-130041355|Locus_17397,chr3:129983259-129984168|Locus_17398	group1
ENSMUSG00000001053.15	ENSMUST00000001080.15	N4bp3	protein_coding	0	0	1	0	1	0	1	chr11:51643563-51644137|Locus_5907	group1
ENSMUSG00000001054.9	ENSMUST00000001081.9	Rmnd5b	protein_coding	0	0	1	0	1	0	1	chr11:51623821-51624120|Locus_13050	group1
ENSMUSG00000001065.15	ENSMUST00000001092.14	Zfp276	protein_coding	0	0	1	1	1	0	2	chr8:123267741-123268265|Locus_12558,chr8:123268666-123268740|Locus_12559	group1
ENSMUSG00000020829.9	ENSMUST00000001126.3	Slc46a1	protein_coding	0	0	1	0	0	0	1	chr11:78466917-78467091|Locus_11911	group1
ENSMUSG00000001100.10	ENSMUST00000001127.10	Poldip2	protein_coding	0	0	0	1	0	0	1	chr11:78522304-78522653|Locus_14056	group1
ENSMUSG00000001119.7	ENSMUST00000001147.4	Col6a1	protein_coding	0	0	2	0	1	0	2	chr10:76709842-76709891|Locus_2314,chr10:76709392-76709816|Locus_2315	group1
ENSMUSG00000001138.13	ENSMUST00000001166.13	Cnnm3	protein_coding	0	0	2	1	0	0	3	chr1:36511917-36512216|Locus_17242,chr1:36512742-36518964|Locus_17243,chr1:36526880-36527129|Locus_17244	group1
ENSMUSG00000001156.9	ENSMUST00000001184.9	Mxd1	protein_coding	0	0	1	1	1	0	2	chr6:86650817-86651453|Locus_3852,chr6:86650242-86650641|Locus_3853	group1
ENSMUSG00000001157.13	ENSMUST00000001185.13	Gmcl1	protein_coding	0	0	0	1	1	0	1	chr6:86692743-86692917|Locus_8754	group1
ENSMUSG00000001158.13	ENSMUST00000001186.10	Snrnp27	protein_coding	0	0	1	0	0	0	1	chr6:86680937-86681665|Locus_13367	group1
ENSMUSG00000001173.15	ENSMUST00000001202.14	Ocrl	protein_coding	0	0	0	1	0	0	1	chrX:47964483-47964857|Locus_10778	group1
ENSMUSG00000001211.15	ENSMUST00000001240.11	Agpat3	protein_coding	0	0	1	1	1	0	2	chr10:78273353-78273752|Locus_10335,chr10:78269303-78270027|Locus_10336	group1
ENSMUSG00000053329.7	ENSMUST00000001242.8	D10Jhu81e	protein_coding	0	0	1	0	1	0	1	chr10:78162391-78162790|Locus_10343	group1
ENSMUSG00000026641.13	ENSMUST00000001284.12	Usf1	protein_coding	0	0	0	0	0	0	0	NA	group1
ENSMUSG00000001300.16	ENSMUST00000001319.14	Efnb2	protein_coding	0	0	2	0	1	0	2	chr8:8639206-8660799|Locus_2567,chr8:8620134-8620933|Locus_2568	group1
ENSMUSG00000001305.5	ENSMUST00000001339.5	Rrp15	protein_coding	0	0	3	0	1	0	3	chr1:186739595-186749358|Locus_13736,chr1:186737595-186737694|Locus_13737,chr1:186721228-186736121|Locus_13738	group1
ENSMUSG00000001313.12	ENSMUST00000001347.6	Rnd2	protein_coding	0	0	0	1	1	0	1	chr11:101471364-101471463|Locus_1931	group1
ENSMUSG00000001376.17	ENSMUST00000001412.16	Vps50	protein_coding	0	0	1	0	1	0	1	chr6:3602651-3602975|Locus_15694	group1
ENSMUSG00000001380.6	ENSMUST00000001416.6	Hars	protein_coding	0	0	0	1	1	0	1	chr18:36766528-36766877|Locus_3188	group1
ENSMUSG00000001383.8	ENSMUST00000001419.8	Zmat2	protein_coding	0	0	2	0	1	0	2	chr18:36793876-36795137|Locus_13283,chr18:36796103-36798174|Locus_13284	group1
ENSMUSG00000001415.10	ENSMUST00000001451.10	Smg5	protein_coding	0	0	1	0	0	0	1	chr3:88351085-88351409|Locus_7743	group1
ENSMUSG00000001445.10	ENSMUST00000001485.9	Mrpl10	protein_coding	0	0	0	1	1	0	1	chr11:97048356-97048605|Locus_1164	group1
ENSMUSG00000001467.5	ENSMUST00000001507.4	Cyp51	protein_coding	0	0	1	0	1	0	1	chr5:4082920-4086575|Locus_2420	group1
ENSMUSG00000001473.6	ENSMUST00000001513.6	Tubb6	protein_coding	0	0	1	1	2	0	2	chr18:67401738-67402362|Locus_14141,chr18:67402388-67402562|Locus_14142	group1
ENSMUSG00000031967.15	ENSMUST00000001520.12	Afg3l1	protein_coding	0	0	1	0	1	0	1	chr8:123501910-123502359|Locus_1652	group1
ENSMUSG00000001482.15	ENSMUST00000001522.9	Def8	protein_coding	0	0	0	1	1	0	1	chr8:123461613-123462112|Locus_8711	group1
ENSMUSG00000023186.14	ENSMUST00000001544.11	Vwa5a	protein_coding	0	0	0	1	0	0	1	chr9:38742539-38742713|Locus_14033	group1
ENSMUSG00000001521.12	ENSMUST00000001562.8	Tulp3	protein_coding	0	0	0	2	0	0	2	chr6:128321486-128321710|Locus_6785,chr6:128321186-128321310|Locus_6786	group1
ENSMUSG00000001542.7	ENSMUST00000001583.7	Ell2	protein_coding	0	0	1	0	0	0	1	chr13:75763585-75766272|Locus_4794	group1
ENSMUSG00000001569.10	ENSMUST00000001611.10	Nom1	protein_coding	0	0	4	0	0	0	4	chr5:29434889-29434963|Locus_11637,chr5:29435039-29435088|Locus_11638,chr5:29435289-29435999|Locus_11639,chr5:29439872-29441389|Locus_11640	group1
ENSMUSG00000021070.6	ENSMUST00000001652.6	Bdkrb2	protein_coding	0	0	1	0	1	0	1	chr12:105592546-105592770|Locus_2021	group1
ENSMUSG00000001630.13	ENSMUST00000001675.13	Stk38l	protein_coding	0	0	1	0	1	0	1	chr6:146775608-146776607|Locus_8104	group1
ENSMUSG00000020196.10	ENSMUST00000001712.7	Cabin1	protein_coding	0	0	1	0	0	0	1	chr10:75657089-75657313|Locus_860	group1
ENSMUSG00000001674.11	ENSMUST00000001724.11	Ddx18	protein_coding	0	0	6	0	1	0	6	chr1:121567832-121567956|Locus_13562,chr1:121567689-121567806|Locus_13563,chr1:121566040-121567613|Locus_13564,chr1:121565915-121565989|Locus_13565,chr1:121564538-121564587|Locus_13566,chr1:121553860-121554034|Locus_13567	group1
ENSMUSG00000001707.8	ENSMUST00000001757.8	Eef1e1	protein_coding	0	0	1	0	0	0	1	chr13:38656161-38659051|Locus_13071	group1
ENSMUSG00000001741.12	ENSMUST00000001792.11	Il16	protein_coding	0	0	2	0	0	0	2	chr7:83652244-83652543|Locus_3380,chr7:83652243-83652542|Locus_3733	group1
ENSMUSG00000001751.9	ENSMUST00000001802.9	Naglu	protein_coding	0	0	1	0	1	0	1	chr11:101076865-101077639|Locus_10230	group1
ENSMUSG00000001755.12	ENSMUST00000001806.9	Coasy	protein_coding	0	0	3	0	0	1	4	chr11:101083190-101083489|Locus_15172,chr11:101083515-101083564|Locus_15173,chr11:101083640-101083689|Locus_15174,chr11:101083903-101083977|Locus_15175	group1
ENSMUSG00000001761.7	ENSMUST00000001812.4	Smo	protein_coding	0	0	1	0	1	0	1	chr6:29760212-29760286|Locus_10566	group1
ENSMUSG00000001773.14	ENSMUST00000001824.6	Folh1	protein_coding	0	0	1	0	1	0	1	chr7:86719602-86719701|Locus_11985	group1
ENSMUSG00000001783.3	ENSMUST00000001834.3	Rtcb	protein_coding	0	0	1	0	1	0	1	chr10:85938787-85941915|Locus_10326	group1
ENSMUSG00000001785.13	ENSMUST00000001836.10	Pwp1	protein_coding	0	0	1	0	1	0	1	chr10:85888105-85888279|Locus_789	group1
ENSMUSG00000001786.14	ENSMUST00000001837.13	Fbxo7	protein_coding	0	0	0	0	1	0	0	NA	group1
ENSMUSG00000001829.17	ENSMUST00000001884.13	Clpb	protein_coding	0	0	1	0	1	0	1	chr7:101787614-101787863|Locus_5261	group1
ENSMUSG00000001870.15	ENSMUST00000001927.11	Ltbp1	protein_coding	0	0	1	0	1	0	1	chr17:75390547-75390796|Locus_9848	group1
ENSMUSG00000025139.14	ENSMUST00000001950.11	Tollip	protein_coding	0	0	1	0	1	0	1	chr7:141884225-141884499|Locus_12126	group1
ENSMUSG00000001910.4	ENSMUST00000001975.4	Nacc1	protein_coding	0	0	2	1	1	0	3	chr8:84676987-84687106|Locus_13479,chr8:84676537-84676886|Locus_13480,chr8:84672779-84672903|Locus_13481	group1
ENSMUSG00000001946.14	ENSMUST00000002011.13	Esam	protein_coding	0	0	0	1	1	0	1	chr9:37537853-37538077|Locus_14624	group1
ENSMUSG00000078622.8	ENSMUST00000002043.9	Ccdc47	protein_coding	0	0	2	0	1	0	2	chr11:106201998-106202172|Locus_13702,chr11:106200897-106201672|Locus_13704	group1
ENSMUSG00000020700.11	ENSMUST00000002044.9	Map3k3	protein_coding	0	0	1	0	1	0	1	chr11:106153999-106154648|Locus_9657	group1
ENSMUSG00000001983.7	ENSMUST00000002048.7	Taco1	protein_coding	0	0	1	0	1	0	1	chr11:106072688-106073579|Locus_14779	group1
ENSMUSG00000031385.14	ENSMUST00000002079.6	Plxnb3	protein_coding	0	0	1	0	0	0	1	chrX:73758837-73759061|Locus_2725	group1
ENSMUSG00000002006.12	ENSMUST00000002080.11	Pdzd4	protein_coding	0	1	3	0	1	0	4	chrX:73824675-73824969|Locus_9516,chrX:73795484-73796402|Locus_9517,chrX:73795209-73795383|Locus_9518,chrX:73794084-73794383|Locus_9519	group1
ENSMUSG00000031378.14	ENSMUST00000002084.13	Abcd1	protein_coding	0	0	1	0	0	0	1	chrX:73717322-73717721|Locus_1734	group1
ENSMUSG00000002028.13	ENSMUST00000002095.10	Kmt2a	protein_coding	0	0	5	3	1	0	8	chr9:44849752-44849901|Locus_6061,chr9:44820870-44820919|Locus_6062,chr9:44820370-44820644|Locus_6063,chr9:44818445-44818719|Locus_6064,chr9:44807705-44808054|Locus_6065,chr9:44805605-44805929|Locus_6066,chr9:44804830-44805129|Locus_6067,chr9:44804605-44804704|Locus_6068	group1
ENSMUSG00000002031.12	ENSMUST00000002099.10	Ift46	protein_coding	0	0	0	1	1	0	1	chr9:44790707-44790956|Locus_16433	group1
ENSMUSG00000002052.6	ENSMUST00000002121.4	Supt6	protein_coding	0	0	0	1	0	0	1	chr11:78207021-78207170|Locus_5640	group1
ENSMUSG00000002064.10	ENSMUST00000002133.8	Sdf2	protein_coding	0	0	1	0	1	0	1	chr11:78251144-78255306|Locus_5148	group1
ENSMUSG00000002083.13	ENSMUST00000002152.12	Bbc3	protein_coding	0	0	0	1	1	0	1	chr7:16317257-16317581|Locus_3803	group1
ENSMUSG00000002103.15	ENSMUST00000002172.13	Acp2	protein_coding	0	0	1	0	1	0	1	chr2:91210738-91211587|Locus_1595	group1
ENSMUSG00000002107.18	ENSMUST00000002176.12	Celf2	protein_coding	0	0	0	1	0	0	1	chr2:6542719-6542843|Locus_2683	group1
ENSMUSG00000002129.11	ENSMUST00000002198.3	Sf3a1	protein_coding	0	0	0	1	0	0	1	chr11:4180345-4180619|Locus_13868	group1
ENSMUSG00000002190.13	ENSMUST00000002259.12	Clgn	protein_coding	0	0	1	0	1	0	1	chr8:83424712-83426627|Locus_2291	group1
ENSMUSG00000002221.11	ENSMUST00000002291.11	Paxip1	protein_coding	0	0	1	0	0	0	1	chr5:27772024-27772623|Locus_12250	group1
ENSMUSG00000002222.14	ENSMUST00000002292.14	Rmnd5a	protein_coding	0	0	1	2	1	0	3	chr6:71392809-71394529|Locus_14323,chr6:71391509-71392058|Locus_14324,chr6:71390684-71390883|Locus_14325	group1
ENSMUSG00000042599.8	ENSMUST00000002305.8	Kdm7a	protein_coding	0	0	1	0	1	0	1	chr6:39142873-39144308|Locus_11200	group1
ENSMUSG00000002250.15	ENSMUST00000002320.14	Ppard	protein_coding	0	0	0	1	1	0	1	chr17:28299871-28299995|Locus_4627	group1
ENSMUSG00000002257.7	ENSMUST00000002327.5	Def6	protein_coding	0	0	1	0	1	0	1	chr17:28228262-28228536|Locus_8710	group1
ENSMUSG00000002266.17	ENSMUST00000002336.15	Zim1	protein_coding	0	0	1	3	1	0	4	chr7:6675994-6677268|Locus_7563,chr7:6673894-6674218|Locus_7564,chr7:6673519-6673718|Locus_7565,chr7:6672194-6673093|Locus_7566	group1
ENSMUSG00000002289.15	ENSMUST00000002360.15	Angptl4	protein_coding	0	0	1	0	1	0	1	chr17:33775050-33775399|Locus_12642	group1
ENSMUSG00000002297.15	ENSMUST00000002368.15	Dbf4	protein_coding	0	0	1	0	1	0	1	chr5:8397323-8397622|Locus_10144	group1
ENSMUSG00000002308.15	ENSMUST00000002379.14	Cd320	protein_coding	0	0	1	0	1	0	1	chr17:33848342-33848841|Locus_12091	group1
ENSMUSG00000002329.6	ENSMUST00000002400.6	Mdp1	protein_coding	0	0	0	1	0	0	1	chr14:55658054-55658428|Locus_14097	group1
ENSMUSG00000002341.8	ENSMUST00000002412.8	Ncan	protein_coding	0	0	3	0	1	0	3	chr8:70110240-70110439|Locus_2382,chr8:70107899-70108223|Locus_2383,chr8:70096260-70096334|Locus_2384	group1
ENSMUSG00000002345.17	ENSMUST00000002418.14	Borcs8	protein_coding	0	0	0	0	0	0	0	NA	group1
ENSMUSG00000002372.8	ENSMUST00000002445.8	Ranbp3	protein_coding	0	0	0	1	1	0	1	chr17:56711005-56711764|Locus_15204	group1
ENSMUSG00000002393.14	ENSMUST00000002466.8	Nr2f6	protein_coding	0	0	2	0	1	0	2	chr8:71381003-71381627|Locus_2659,chr8:71374323-71374522|Locus_2660	group1
ENSMUSG00000031820.9	ENSMUST00000002473.9	Babam1	protein_coding	0	0	1	0	1	0	1	chr8:71404239-71404588|Locus_14257	group1
ENSMUSG00000002413.15	ENSMUST00000002487.14	Braf	protein_coding	0	0	0	1	1	0	1	chr6:39609962-39610336|Locus_1415	group1
ENSMUSG00000002459.17	ENSMUST00000002533.14	Rgs20	protein_coding	0	0	1	0	1	0	1	chr1:4910301-4910525|Locus_12661	group1
ENSMUSG00000002489.15	ENSMUST00000002588.9	Tiam1	protein_coding	0	0	1	0	0	0	1	chr16:89897632-89898131|Locus_6569	group1
ENSMUSG00000002524.15	ENSMUST00000002599.9	Puf60	protein_coding	0	0	1	0	1	0	1	chr15:76070182-76070556|Locus_14144	group1
ENSMUSG00000002608.8	ENSMUST00000002683.2	Ccdc97	protein_coding	0	0	0	1	0	0	1	chr7:25711131-25711580|Locus_11876	group1
ENSMUSG00000024045.5	ENSMUST00000002699.5	Akap8	protein_coding	0	0	2	0	1	0	2	chr17:32316372-32316721|Locus_12404,chr17:32305172-32305696|Locus_12405	group1
ENSMUSG00000002635.11	ENSMUST00000002710.9	Pdcd2l	protein_coding	0	0	1	0	0	0	1	chr7:34192857-34193081|Locus_14202	group1
ENSMUSG00000002658.9	ENSMUST00000002733.6	Gtf2f1	protein_coding	0	0	1	0	0	0	1	chr17:57004140-57004427|Locus_17298	group1
ENSMUSG00000002660.7	ENSMUST00000002735.7	Clpp	protein_coding	0	0	1	0	1	0	1	chr17:56995981-56996180|Locus_12038	group1
ENSMUSG00000002718.14	ENSMUST00000002790.13	Cse1l	protein_coding	0	0	1	0	1	0	1	chr2:166944817-166945991|Locus_1487	group1
ENSMUSG00000002748.7	ENSMUST00000002825.5	Baz1b	protein_coding	0	0	4	0	1	0	4	chr5:135216777-135217151|Locus_6915,chr5:135217227-135217551|Locus_6916,chr5:135217977-135222039|Locus_6917,chr5:135244211-135244635|Locus_6918	group1
ENSMUSG00000063406.11	ENSMUST00000002837.10	Tmed5	protein_coding	0	0	0	1	0	0	1	chr5:108123837-108123886|Locus_15661	group1
ENSMUSG00000059409.8	ENSMUST00000002839.8	Ppp2r5d	protein_coding	0	0	0	1	0	0	1	chr17:46683291-46683515|Locus_6458	group1
ENSMUSG00000002768.7	ENSMUST00000002845.6	Mea1	protein_coding	0	0	0	2	2	0	2	chr17:46682918-46683092|Locus_3946,chr17:46682991-46683040|Locus_6459	group1
ENSMUSG00000002808.7	ENSMUST00000002885.7	Epdr1	protein_coding	0	1	1	0	1	0	2	chr13:19619708-19619882|Locus_953,chr13:19592881-19594503|Locus_954	group1
ENSMUSG00000002814.15	ENSMUST00000002891.10	Top3a	protein_coding	0	0	2	0	1	0	2	chr11:60742422-60742971|Locus_6721,chr11:60740183-60740682|Locus_6722	group1
ENSMUSG00000002831.13	ENSMUST00000002908.7	Plin4	protein_coding	0	0	3	0	0	0	3	chr17:56107027-56107201|Locus_12597,chr17:56106477-56107001|Locus_12598,chr17:56103802-56104226|Locus_12599	group1
ENSMUSG00000002844.8	ENSMUST00000002923.8	Adprh	protein_coding	0	0	1	0	1	0	1	chr16:38445755-38446054|Locus_1684	group1
ENSMUSG00000002846.9	ENSMUST00000002925.5	Timmdc1	protein_coding	0	0	0	1	1	0	1	chr16:38498822-38498896|Locus_16509	group1
ENSMUSG00000002897.5	ENSMUST00000002976.4	Il17ra	protein_coding	0	0	2	0	1	0	2	chr6:120481223-120481722|Locus_3381,chr6:120481748-120482547|Locus_3382	group1
ENSMUSG00000002910.11	ENSMUST00000002989.10	Arrdc2	protein_coding	0	0	0	1	1	0	1	chr8:70835479-70835878|Locus_14950	group1
ENSMUSG00000002949.15	ENSMUST00000003029.13	Timm44	protein_coding	0	0	1	0	1	0	1	chr8:4259856-4260205|Locus_6594	group1
ENSMUSG00000003031.14	ENSMUST00000003115.8	Cdkn1b	protein_coding	0	0	1	0	1	0	1	chr6:134920976-134921075|Locus_2228	group1
ENSMUSG00000003037.16	ENSMUST00000003121.8	Rab8a	protein_coding	0	0	1	2	2	0	3	chr8:72180102-72180151|Locus_3957,chr8:72180177-72180326|Locus_3958,chr8:72180427-72180876|Locus_3959	group1
ENSMUSG00000003039.9	ENSMUST00000003123.9	Fam32a	protein_coding	0	0	2	0	1	0	2	chr8:72219730-72220159|Locus_14128,chr8:72221860-72223509|Locus_14129	group1
ENSMUSG00000003068.16	ENSMUST00000003152.13	Stk11	protein_coding	0	0	0	1	0	0	1	chr10:80130503-80130677|Locus_5586	group1
ENSMUSG00000003070.6	ENSMUST00000003154.6	Efna2	protein_coding	0	0	0	1	0	0	1	chr10:80189705-80189829|Locus_2563	group1
ENSMUSG00000024070.15	ENSMUST00000003191.13	Prkd3	protein_coding	0	1	2	1	1	0	4	chr17:79013057-79013331|Locus_16164,chr17:79012757-79012856|Locus_16165,chr17:79012682-79012731|Locus_16166,chr17:78951680-78951729|Locus_16167	group1
ENSMUSG00000003154.15	ENSMUST00000003238.13	Foxj2	protein_coding	0	1	0	0	0	0	1	chr6:122820314-122820488|Locus_665	group1
ENSMUSG00000003200.9	ENSMUST00000003268.9	Sh3gl1	protein_coding	0	0	0	1	0	0	1	chr17:56016925-56017224|Locus_5211	group1
ENSMUSG00000003184.15	ENSMUST00000003284.15	Irf3	protein_coding	0	0	1	0	1	0	1	chr7:45002237-45002436|Locus_12057	group1
ENSMUSG00000003226.7	ENSMUST00000003310.6	Ranbp2	protein_coding	0	0	8	0	1	0	8	chr10:58476532-58476881|Locus_4909,chr10:58477182-58477456|Locus_4910,chr10:58477482-58477831|Locus_4911,chr10:58477982-58478306|Locus_4912,chr10:58478807-58479181|Locus_4913,chr10:58479782-58483065|Locus_4914,chr10:58492611-58493002|Locus_4915,chr10:58493128-58494003|Locus_4916	group1
ENSMUSG00000003228.8	ENSMUST00000003313.8	Grk5	protein_coding	0	0	1	0	1	0	1	chr19:61090635-61092363|Locus_3100	group1
ENSMUSG00000003234.15	ENSMUST00000003319.5	Abcf3	protein_coding	0	0	1	0	1	0	1	chr16:20560347-20560821|Locus_10219	group1
ENSMUSG00000021314.12	ENSMUST00000003345.9	Amph	protein_coding	0	0	1	0	1	0	1	chr13:19149769-19150318|Locus_6500	group1
ENSMUSG00000020734.13	ENSMUST00000003351.12	Grin2c	protein_coding	0	0	1	0	1	0	1	chr11:115249419-115249793|Locus_3144	group1
ENSMUSG00000003273.14	ENSMUST00000003360.9	Car11	protein_coding	0	1	0	0	0	0	1	chr7:45699843-45700142|Locus_2140	group1
