anno	seqnames	start	end	width	peak	groupname	gene_type	gene_name	location	transcriptID
UTR3 (ENSMUST00000000304.13)	chr10	31328097	31328196	100	chr10:31328097-31328196|Locus_14674	group1	protein_coding	Hddc2	UTR3	ENSMUST00000000304.13
CDS (ENSMUST00000000314.12, CDS 16 of 16, 207bp)	chr2	179895755	179896329	575	chr2:179895755-179896329|Locus_2213	group1	protein_coding	Cdh4	CDS	ENSMUST00000000314.12
UTR3 (ENSMUST00000000314.12)	chr2	179896905	179897129	225	chr2:179896905-179897129|Locus_2214	group1	protein_coding	Cdh4	UTR3	ENSMUST00000000314.12
CDS (ENSMUST00000000348.14, CDS 1 of 11, 102bp)	chr3	116489063	116489262	200	chr3:116489063-116489262|Locus_13191	group1	protein_coding	Rtca	CDS	ENSMUST00000000348.14
CDS (ENSMUST00000000349.10, CDS 11 of 11, 168bp)	chr3	116548134	116548383	250	chr3:116548134-116548383|Locus_2439	group1	protein_coding	Dbt	CDS	ENSMUST00000000349.10
CDS (ENSMUST00000000384.7, CDS 1 of 23, 239bp)	chr10	78187550	78187999	450	chr10:78187550-78187999|Locus_6259	group1	protein_coding	Trappc10	CDS	ENSMUST00000000384.7
CDS (ENSMUST00000000388.14, CDS 10 of 10, 281bp)	chr11	6596154	6596744	591	chr11:6596154-6596744|Locus_6306	group1	protein_coding	Ccm2	CDS	ENSMUST00000000388.14
CDS (ENSMUST00000000430.13, CDS 10 of 11, 135bp)	chr18	24282132	24282306	175	chr18:24282132-24282306|Locus_2961	group1	protein_coding	Galnt1	CDS	ENSMUST00000000430.13
CDS (ENSMUST00000000430.13, CDS 11 of 11, 147bp)	chr18	24283132	24285349	2218	chr18:24283132-24285349|Locus_2962	group1	protein_coding	Galnt1	CDS	ENSMUST00000000430.13
CDS (ENSMUST00000000476.14, CDS 21 of 22, 242bp)	chr5	75192593	75195722	3130	chr5:75192593-75195722|Locus_656	group1	protein_coding	Pdgfra	CDS	ENSMUST00000000476.14
UTR3 (ENSMUST00000000476.14)	chr5	75196098	75196272	175	chr5:75196098-75196272|Locus_657	group1	protein_coding	Pdgfra	UTR3	ENSMUST00000000476.14
UTR3 (ENSMUST00000000500.6)	chr15	79996724	79997223	500	chr15:79996724-79997223|Locus_4454	group1	protein_coding	Pdgfb	UTR3	ENSMUST00000000500.6
UTR3 (ENSMUST00000000542.13)	chr15	101144972	101145096	125	chr15:101144972-101145096|Locus_1639	group1	protein_coding	Acvrl1	UTR3	ENSMUST00000000542.13
UTR3 (ENSMUST00000000542.13)	chr15	101145122	101145171	50	chr15:101145122-101145171|Locus_1640	group1	protein_coding	Acvrl1	UTR3	ENSMUST00000000542.13
CDS (ENSMUST00000000543.4, CDS 8 of 8, 500bp)	chr15	101231924	101232048	125	chr15:101231924-101232048|Locus_12286	group1	protein_coding	Grasp	CDS	ENSMUST00000000543.4
CDS (ENSMUST00000000544.10, CDS 9 of 9, 126bp)	chr15	101210817	101211391	575	chr15:101210817-101211391|Locus_1634	group1	protein_coding	Acvr1b	CDS	ENSMUST00000000544.10
UTR3 (ENSMUST00000000544.10)	chr15	101212892	101213091	200	chr15:101212892-101213091|Locus_1635	group1	protein_coding	Acvr1b	UTR3	ENSMUST00000000544.10
CDS (ENSMUST00000000579.2, CDS 3 of 3, 839bp)	chr11	112785476	112785950	475	chr11:112785476-112785950|Locus_5377	group1	protein_coding	Sox9	CDS	ENSMUST00000000579.2
UTR3 (ENSMUST00000000579.2)	chr11	112786301	112786350	50	chr11:112786301-112786350|Locus_5378	group1	protein_coding	Sox9	UTR3	ENSMUST00000000579.2
UTR5 (ENSMUST00000000619.7)	chr7	7298186	7298730	545	chr7:7298186-7298730|Locus_2281	group1	protein_coding	Clcn4	UTR5	ENSMUST00000000619.7
CDS (ENSMUST00000000619.7, CDS 11 of 11, 105bp)	chr7	7296364	7296838	475	chr7:7296364-7296838|Locus_2282	group1	protein_coding	Clcn4	CDS	ENSMUST00000000619.7
CDS (ENSMUST00000000619.7, CDS 2 of 11, 217bp)	chr7	7283284	7287679	4396	chr7:7283284-7287679|Locus_2283	group1	protein_coding	Clcn4	CDS	ENSMUST00000000619.7
CDS (ENSMUST00000000641.14, CDS 1 of 14, 614bp)	chr6	82913185	82913609	425	chr6:82913185-82913609|Locus_5181	group1	protein_coding	Sema4f	CDS	ENSMUST00000000641.14
UTR3 (ENSMUST00000000641.14)	chr6	82912660	82912734	75	chr6:82912660-82912734|Locus_5182	group1	protein_coding	Sema4f	UTR3	ENSMUST00000000641.14
UTR3 (ENSMUST00000000727.3)	chr10	128679200	128679249	50	chr10:128679200-128679249|Locus_4866	group1	protein_coding	Rab5b	UTR3	ENSMUST00000000727.3
UTR3 (ENSMUST00000000727.3)	chr10	128677900	128677949	50	chr10:128677900-128677949|Locus_4867	group1	protein_coding	Rab5b	UTR3	ENSMUST00000000727.3
CDS (ENSMUST00000000756.5, CDS 5 of 5, 159bp)	chr8	123105150	123105244	95	chr8:123105150-123105244|Locus_190	group1	protein_coding	Rpl13	CDS	ENSMUST00000000756.5
UTR3 (ENSMUST00000000759.8)	chr8	123205139	123205538	400	chr8:123205139-123205538|Locus_8371	group1	protein_coding	Chmp1a	UTR3	ENSMUST00000000759.8
UTR3 (ENSMUST00000000759.8)	chr8	123204589	123205013	425	chr8:123204589-123205013|Locus_8372	group1	protein_coding	Chmp1a	UTR3	ENSMUST00000000759.8
UTR5 (ENSMUST00000000804.6)	chrX	13280970	13281044	75	chrX:13280970-13281044|Locus_2456	group1	protein_coding	Ddx3x	UTR5	ENSMUST00000000804.6
UTR3 (ENSMUST00000000804.6)	chrX	13291501	13291650	150	chrX:13291501-13291650|Locus_2457	group1	protein_coding	Ddx3x	UTR3	ENSMUST00000000804.6
CDS (ENSMUST00000000808.7, CDS 16 of 16, 357bp)	chr8	70820670	70820819	150	chr8:70820670-70820819|Locus_3377	group1	protein_coding	Il12rb1	CDS	ENSMUST00000000808.7
UTR3 (ENSMUST00000000809.2)	chr8	70883139	70883563	425	chr8:70883139-70883563|Locus_1607	group1	protein_coding	Slc5a5	UTR3	ENSMUST00000000809.2
CDS (ENSMUST00000000811.7, CDS 1 of 8, 936bp)	chr3	89520214	89520563	350	chr3:89520214-89520563|Locus_2708	group1	protein_coding	Kcnn3	CDS	ENSMUST00000000811.7
CDS (ENSMUST00000000811.7, CDS 1 of 8, 936bp)	chr3	89521139	89564867	43729	chr3:89521139-89564867|Locus_2709	group1	protein_coding	Kcnn3	CDS	ENSMUST00000000811.7
CDS (ENSMUST00000000811.7, CDS 8 of 8, 297bp)	chr3	89667332	89667556	225	chr3:89667332-89667556|Locus_2710	group1	protein_coding	Kcnn3	CDS	ENSMUST00000000811.7
CDS (ENSMUST00000000881.12, CDS 4 of 5, 1743bp)	chr11	24163430	24163479	50	chr11:24163430-24163479|Locus_2689	group1	protein_coding	Bcl11a	CDS	ENSMUST00000000881.12
CDS (ENSMUST00000000881.12, CDS 4 of 5, 1743bp)	chr11	24164205	24164629	425	chr11:24164205-24164629|Locus_2690	group1	protein_coding	Bcl11a	CDS	ENSMUST00000000881.12
CDS (ENSMUST00000000881.12, CDS 4 of 5, 1743bp)	chr11	24164680	24165229	550	chr11:24164680-24165229|Locus_2691	group1	protein_coding	Bcl11a	CDS	ENSMUST00000000881.12
UTR3 (ENSMUST00000000896.10)	chr2	154585908	154586182	275	chr2:154585908-154586182|Locus_12759	group1	protein_coding	Pxmp4	UTR3	ENSMUST00000000896.10
UTR5 (ENSMUST00000000901.12)	chrX	100767772	100767846	75	chrX:100767772-100767846|Locus_11982	group1	protein_coding	Dlg3	UTR5	ENSMUST00000000901.12
CDS (ENSMUST00000000901.12, CDS 18 of 19, 92bp)	chrX	100815273	100816866	1594	chrX:100815273-100816866|Locus_11983	group1	protein_coding	Dlg3	CDS	ENSMUST00000000901.12
UTR3 (ENSMUST00000000939.14)	chr5	124002240	124002564	325	chr5:124002240-124002564|Locus_10367	group1	protein_coding	Hip1r	UTR3	ENSMUST00000000939.14
UTR3 (ENSMUST00000000939.14)	chr5	124004765	124004864	100	chr5:124004765-124004864|Locus_10368	group1	protein_coding	Hip1r	UTR3	ENSMUST00000000939.14
UTR3 (ENSMUST00000000939.14)	chr5	124004766	124004865	100	chr5:124004766-124004865|Locus_11043	group1	protein_coding	Hip1r	UTR3	ENSMUST00000000939.14
CDS (ENSMUST00000000985.6, CDS 10 of 10, 134bp)	chr14	54368400	54368724	325	chr14:54368400-54368724|Locus_14534	group1	protein_coding	Oxa1l	CDS	ENSMUST00000000985.6
CDS (ENSMUST00000001002.7, CDS 20 of 20, 572bp)	chr11	83781211	83781785	575	chr11:83781211-83781785|Locus_6373	group1	protein_coding	Heatr6	CDS	ENSMUST00000001002.7
UTR3 (ENSMUST00000001042.9)	chr3	90488101	90488350	250	chr3:90488101-90488350|Locus_5327	group1	protein_coding	Ilf2	UTR3	ENSMUST00000001042.9
CDS (ENSMUST00000001042.9, CDS 14 of 14, 161bp)	chr3	90487558	90487982	425	chr3:90487558-90487982|Locus_14035	group1	protein_coding	Ilf2	CDS	ENSMUST00000001042.9
UTR3 (ENSMUST00000001042.9)	chr3	90488108	90488379	272	chr3:90488108-90488379|Locus_14036	group1	protein_coding	Ilf2	UTR3	ENSMUST00000001042.9
CDS (ENSMUST00000001059.8, CDS 1 of 22, 213bp)	chr11	106398275	106398674	400	chr11:106398275-106398674|Locus_16855	group1	protein_coding	Ern1	CDS	ENSMUST00000001059.8
CDS (ENSMUST00000001079.14, CDS 23 of 24, 774bp)	chr3	130041156	130041355	200	chr3:130041156-130041355|Locus_17397	group1	protein_coding	Sec24b	CDS	ENSMUST00000001079.14
CDS (ENSMUST00000001079.14, CDS 2 of 24, 104bp)	chr3	129983259	129984168	910	chr3:129983259-129984168|Locus_17398	group1	protein_coding	Sec24b	CDS	ENSMUST00000001079.14
CDS (ENSMUST00000001080.15, CDS 1 of 4, 528bp)	chr11	51643563	51644137	575	chr11:51643563-51644137|Locus_5907	group1	protein_coding	N4bp3	CDS	ENSMUST00000001080.15
CDS (ENSMUST00000001081.9, CDS 1 of 9, 64bp)	chr11	51623821	51624120	300	chr11:51623821-51624120|Locus_13050	group1	protein_coding	Rmnd5b	CDS	ENSMUST00000001081.9
CDS (ENSMUST00000001092.14, CDS 11 of 11, 271bp)	chr8	123267741	123268265	525	chr8:123267741-123268265|Locus_12558	group1	protein_coding	Zfp276	CDS	ENSMUST00000001092.14
UTR3 (ENSMUST00000001092.14)	chr8	123268666	123268740	75	chr8:123268666-123268740|Locus_12559	group1	protein_coding	Zfp276	UTR3	ENSMUST00000001092.14
CDS (ENSMUST00000001126.3, CDS 2 of 5, 853bp)	chr11	78466917	78467091	175	chr11:78466917-78467091|Locus_11911	group1	protein_coding	Slc46a1	CDS	ENSMUST00000001126.3
UTR3 (ENSMUST00000001127.10)	chr11	78522304	78522653	350	chr11:78522304-78522653|Locus_14056	group1	protein_coding	Poldip2	UTR3	ENSMUST00000001127.10
CDS (ENSMUST00000001147.4, CDS 1 of 35, 623bp)	chr10	76709842	76709891	50	chr10:76709842-76709891|Locus_2314	group1	protein_coding	Col6a1	CDS	ENSMUST00000001147.4
CDS (ENSMUST00000001147.4, CDS 1 of 35, 623bp)	chr10	76709392	76709816	425	chr10:76709392-76709816|Locus_2315	group1	protein_coding	Col6a1	CDS	ENSMUST00000001147.4
CDS (ENSMUST00000001166.13, CDS 1 of 8, 1243bp)	chr1	36511917	36512216	300	chr1:36511917-36512216|Locus_17242	group1	protein_coding	Cnnm3	CDS	ENSMUST00000001166.13
CDS (ENSMUST00000001166.13, CDS 1 of 8, 1243bp)	chr1	36512742	36518964	6223	chr1:36512742-36518964|Locus_17243	group1	protein_coding	Cnnm3	CDS	ENSMUST00000001166.13
UTR3 (ENSMUST00000001166.13)	chr1	36526880	36527129	250	chr1:36526880-36527129|Locus_17244	group1	protein_coding	Cnnm3	UTR3	ENSMUST00000001166.13
CDS (ENSMUST00000001184.9, CDS 2 of 6, 160bp)	chr6	86650817	86651453	637	chr6:86650817-86651453|Locus_3852	group1	protein_coding	Mxd1	CDS	ENSMUST00000001184.9
UTR3 (ENSMUST00000001184.9)	chr6	86650242	86650641	400	chr6:86650242-86650641|Locus_3853	group1	protein_coding	Mxd1	UTR3	ENSMUST00000001184.9
UTR3 (ENSMUST00000001185.13)	chr6	86692743	86692917	175	chr6:86692743-86692917|Locus_8754	group1	protein_coding	Gmcl1	UTR3	ENSMUST00000001185.13
CDS (ENSMUST00000001186.10, CDS 4 of 6, 113bp)	chr6	86680937	86681665	729	chr6:86680937-86681665|Locus_13367	group1	protein_coding	Snrnp27	CDS	ENSMUST00000001186.10
UTR3 (ENSMUST00000001202.14)	chrX	47964483	47964857	375	chrX:47964483-47964857|Locus_10778	group1	protein_coding	Ocrl	UTR3	ENSMUST00000001202.14
CDS (ENSMUST00000001240.11, CDS 1 of 8, 89bp)	chr10	78273353	78273752	400	chr10:78273353-78273752|Locus_10335	group1	protein_coding	Agpat3	CDS	ENSMUST00000001240.11
UTR3 (ENSMUST00000001240.11)	chr10	78269303	78270027	725	chr10:78269303-78270027|Locus_10336	group1	protein_coding	Agpat3	UTR3	ENSMUST00000001240.11
CDS (ENSMUST00000001242.8, CDS 1 of 7, 129bp)	chr10	78162391	78162790	400	chr10:78162391-78162790|Locus_10343	group1	protein_coding	D10Jhu81e	CDS	ENSMUST00000001242.8
CDS (ENSMUST00000001319.14, CDS 5 of 5, 131bp)	chr8	8639206	8660799	21594	chr8:8639206-8660799|Locus_2567	group1	protein_coding	Efnb2	CDS	ENSMUST00000001319.14
CDS (ENSMUST00000001319.14, CDS 1 of 5, 389bp)	chr8	8620134	8620933	800	chr8:8620134-8620933|Locus_2568	group1	protein_coding	Efnb2	CDS	ENSMUST00000001319.14
CDS (ENSMUST00000001339.5, CDS 5 of 5, 145bp)	chr1	186739595	186749358	9764	chr1:186739595-186749358|Locus_13736	group1	protein_coding	Rrp15	CDS	ENSMUST00000001339.5
CDS (ENSMUST00000001339.5, CDS 3 of 5, 98bp)	chr1	186737595	186737694	100	chr1:186737595-186737694|Locus_13737	group1	protein_coding	Rrp15	CDS	ENSMUST00000001339.5
CDS (ENSMUST00000001339.5, CDS 2 of 5, 199bp)	chr1	186721228	186736121	14894	chr1:186721228-186736121|Locus_13738	group1	protein_coding	Rrp15	CDS	ENSMUST00000001339.5
UTR3 (ENSMUST00000001347.6)	chr11	101471364	101471463	100	chr11:101471364-101471463|Locus_1931	group1	protein_coding	Rnd2	UTR3	ENSMUST00000001347.6
CDS (ENSMUST00000001412.16, CDS 28 of 28, 120bp)	chr6	3602651	3602975	325	chr6:3602651-3602975|Locus_15694	group1	protein_coding	Vps50	CDS	ENSMUST00000001412.16
UTR3 (ENSMUST00000001416.6)	chr18	36766528	36766877	350	chr18:36766528-36766877|Locus_3188	group1	protein_coding	Hars	UTR3	ENSMUST00000001416.6
CDS (ENSMUST00000001419.8, CDS 1 of 6, 18bp)	chr18	36793876	36795137	1262	chr18:36793876-36795137|Locus_13283	group1	protein_coding	Zmat2	CDS	ENSMUST00000001419.8
CDS (ENSMUST00000001419.8, CDS 4 of 6, 74bp)	chr18	36796103	36798174	2072	chr18:36796103-36798174|Locus_13284	group1	protein_coding	Zmat2	CDS	ENSMUST00000001419.8
CDS (ENSMUST00000001451.10, CDS 12 of 22, 603bp)	chr3	88351085	88351409	325	chr3:88351085-88351409|Locus_7743	group1	protein_coding	Smg5	CDS	ENSMUST00000001451.10
UTR3 (ENSMUST00000001485.9)	chr11	97048356	97048605	250	chr11:97048356-97048605|Locus_1164	group1	protein_coding	Mrpl10	UTR3	ENSMUST00000001485.9
CDS (ENSMUST00000001507.4, CDS 2 of 10, 169bp)	chr5	4082920	4086575	3656	chr5:4082920-4086575|Locus_2420	group1	protein_coding	Cyp51	CDS	ENSMUST00000001507.4
CDS (ENSMUST00000001513.6, CDS 4 of 4, 1067bp)	chr18	67401738	67402362	625	chr18:67401738-67402362|Locus_14141	group1	protein_coding	Tubb6	CDS	ENSMUST00000001513.6
UTR3 (ENSMUST00000001513.6)	chr18	67402388	67402562	175	chr18:67402388-67402562|Locus_14142	group1	protein_coding	Tubb6	UTR3	ENSMUST00000001513.6
CDS (ENSMUST00000001520.12, CDS 17 of 17, 219bp)	chr8	123501910	123502359	450	chr8:123501910-123502359|Locus_1652	group1	protein_coding	Afg3l1	CDS	ENSMUST00000001520.12
UTR3 (ENSMUST00000001522.9)	chr8	123461613	123462112	500	chr8:123461613-123462112|Locus_8711	group1	protein_coding	Def8	UTR3	ENSMUST00000001522.9
UTR3 (ENSMUST00000001544.11)	chr9	38742539	38742713	175	chr9:38742539-38742713|Locus_14033	group1	protein_coding	Vwa5a	UTR3	ENSMUST00000001544.11
UTR3 (ENSMUST00000001562.8)	chr6	128321486	128321710	225	chr6:128321486-128321710|Locus_6785	group1	protein_coding	Tulp3	UTR3	ENSMUST00000001562.8
UTR3 (ENSMUST00000001562.8)	chr6	128321186	128321310	125	chr6:128321186-128321310|Locus_6786	group1	protein_coding	Tulp3	UTR3	ENSMUST00000001562.8
CDS (ENSMUST00000001583.7, CDS 8 of 12, 568bp)	chr13	75763585	75766272	2688	chr13:75763585-75766272|Locus_4794	group1	protein_coding	Ell2	CDS	ENSMUST00000001583.7
CDS (ENSMUST00000001611.10, CDS 1 of 11, 966bp)	chr5	29434889	29434963	75	chr5:29434889-29434963|Locus_11637	group1	protein_coding	Nom1	CDS	ENSMUST00000001611.10
CDS (ENSMUST00000001611.10, CDS 1 of 11, 966bp)	chr5	29435039	29435088	50	chr5:29435039-29435088|Locus_11638	group1	protein_coding	Nom1	CDS	ENSMUST00000001611.10
CDS (ENSMUST00000001611.10, CDS 1 of 11, 966bp)	chr5	29435289	29435999	711	chr5:29435289-29435999|Locus_11639	group1	protein_coding	Nom1	CDS	ENSMUST00000001611.10
CDS (ENSMUST00000001611.10, CDS 4 of 11, 324bp)	chr5	29439872	29441389	1518	chr5:29439872-29441389|Locus_11640	group1	protein_coding	Nom1	CDS	ENSMUST00000001611.10
CDS (ENSMUST00000001652.6, CDS 2 of 2, 1108bp)	chr12	105592546	105592770	225	chr12:105592546-105592770|Locus_2021	group1	protein_coding	Bdkrb2	CDS	ENSMUST00000001652.6
CDS (ENSMUST00000001675.13, CDS 13 of 13, 128bp)	chr6	146775608	146776607	1000	chr6:146775608-146776607|Locus_8104	group1	protein_coding	Stk38l	CDS	ENSMUST00000001675.13
CDS (ENSMUST00000001712.7, CDS 6 of 36, 678bp)	chr10	75657089	75657313	225	chr10:75657089-75657313|Locus_860	group1	protein_coding	Cabin1	CDS	ENSMUST00000001712.7
CDS (ENSMUST00000001724.11, CDS 13 of 13, 85bp)	chr1	121567832	121567956	125	chr1:121567832-121567956|Locus_13562	group1	protein_coding	Ddx18	CDS	ENSMUST00000001724.11
CDS (ENSMUST00000001724.11, CDS 13 of 13, 85bp)	chr1	121567689	121567806	118	chr1:121567689-121567806|Locus_13563	group1	protein_coding	Ddx18	CDS	ENSMUST00000001724.11
CDS (ENSMUST00000001724.11, CDS 12 of 13, 288bp)	chr1	121566040	121567613	1574	chr1:121566040-121567613|Locus_13564	group1	protein_coding	Ddx18	CDS	ENSMUST00000001724.11
CDS (ENSMUST00000001724.11, CDS 12 of 13, 288bp)	chr1	121565915	121565989	75	chr1:121565915-121565989|Locus_13565	group1	protein_coding	Ddx18	CDS	ENSMUST00000001724.11
CDS (ENSMUST00000001724.11, CDS 11 of 13, 111bp)	chr1	121564538	121564587	50	chr1:121564538-121564587|Locus_13566	group1	protein_coding	Ddx18	CDS	ENSMUST00000001724.11
CDS (ENSMUST00000001724.11, CDS 1 of 13, 143bp)	chr1	121553860	121554034	175	chr1:121553860-121554034|Locus_13567	group1	protein_coding	Ddx18	CDS	ENSMUST00000001724.11
CDS (ENSMUST00000001757.8, CDS 4 of 4, 87bp)	chr13	38656161	38659051	2891	chr13:38656161-38659051|Locus_13071	group1	protein_coding	Eef1e1	CDS	ENSMUST00000001757.8
CDS (ENSMUST00000001792.11, CDS 6 of 18, 1084bp)	chr7	83652244	83652543	300	chr7:83652244-83652543|Locus_3380	group1	protein_coding	Il16	CDS	ENSMUST00000001792.11
CDS (ENSMUST00000001792.11, CDS 6 of 18, 1084bp)	chr7	83652243	83652542	300	chr7:83652243-83652542|Locus_3733	group1	protein_coding	Il16	CDS	ENSMUST00000001792.11
CDS (ENSMUST00000001802.9, CDS 6 of 6, 1205bp)	chr11	101076865	101077639	775	chr11:101076865-101077639|Locus_10230	group1	protein_coding	Naglu	CDS	ENSMUST00000001802.9
CDS (ENSMUST00000001806.9, CDS 1 of 9, 697bp)	chr11	101083190	101083489	300	chr11:101083190-101083489|Locus_15172	group1	protein_coding	Coasy	CDS	ENSMUST00000001806.9
CDS (ENSMUST00000001806.9, CDS 1 of 9, 697bp)	chr11	101083515	101083564	50	chr11:101083515-101083564|Locus_15173	group1	protein_coding	Coasy	CDS	ENSMUST00000001806.9
CDS (ENSMUST00000001806.9, CDS 1 of 9, 697bp)	chr11	101083640	101083689	50	chr11:101083640-101083689|Locus_15174	group1	protein_coding	Coasy	CDS	ENSMUST00000001806.9
Intron (ENSMUST00000001806.9, intron 2 of 9)	chr11	101083903	101083977	75	chr11:101083903-101083977|Locus_15175	group1	protein_coding	Coasy	Intron	ENSMUST00000001806.9
CDS (ENSMUST00000001812.4, CDS 12 of 12, 434bp)	chr6	29760212	29760286	75	chr6:29760212-29760286|Locus_10566	group1	protein_coding	Smo	CDS	ENSMUST00000001812.4
CDS (ENSMUST00000001824.6, CDS 1 of 19, 190bp)	chr7	86719602	86719701	100	chr7:86719602-86719701|Locus_11985	group1	protein_coding	Folh1	CDS	ENSMUST00000001824.6
CDS (ENSMUST00000001834.3, CDS 2 of 12, 120bp)	chr10	85938787	85941915	3129	chr10:85938787-85941915|Locus_10326	group1	protein_coding	Rtcb	CDS	ENSMUST00000001834.3
CDS (ENSMUST00000001836.10, CDS 15 of 15, 113bp)	chr10	85888105	85888279	175	chr10:85888105-85888279|Locus_789	group1	protein_coding	Pwp1	CDS	ENSMUST00000001836.10
CDS (ENSMUST00000001884.13, CDS 16 of 16, 249bp)	chr7	101787614	101787863	250	chr7:101787614-101787863|Locus_5261	group1	protein_coding	Clpb	CDS	ENSMUST00000001884.13
CDS (ENSMUST00000001927.11, CDS 34 of 34, 182bp)	chr17	75390547	75390796	250	chr17:75390547-75390796|Locus_9848	group1	protein_coding	Ltbp1	CDS	ENSMUST00000001927.11
CDS (ENSMUST00000001950.11, CDS 1 of 6, 215bp)	chr7	141884225	141884499	275	chr7:141884225-141884499|Locus_12126	group1	protein_coding	Tollip	CDS	ENSMUST00000001950.11
CDS (ENSMUST00000001975.4, CDS 5 of 5, 904bp)	chr8	84676987	84687106	10120	chr8:84676987-84687106|Locus_13479	group1	protein_coding	Nacc1	CDS	ENSMUST00000001975.4
CDS (ENSMUST00000001975.4, CDS 5 of 5, 904bp)	chr8	84676537	84676886	350	chr8:84676537-84676886|Locus_13480	group1	protein_coding	Nacc1	CDS	ENSMUST00000001975.4
UTR3 (ENSMUST00000001975.4)	chr8	84672779	84672903	125	chr8:84672779-84672903|Locus_13481	group1	protein_coding	Nacc1	UTR3	ENSMUST00000001975.4
UTR3 (ENSMUST00000002011.13)	chr9	37537853	37538077	225	chr9:37537853-37538077|Locus_14624	group1	protein_coding	Esam	UTR3	ENSMUST00000002011.13
CDS (ENSMUST00000002043.9, CDS 2 of 12, 168bp)	chr11	106201998	106202172	175	chr11:106201998-106202172|Locus_13702	group1	protein_coding	Ccdc47	CDS	ENSMUST00000002043.9
