exonID	exon_id	exon_name	exon_rank	tx_name.x	length	rank.x	V1	tx_name.y	rank.y	V4	V5	exonLoc	Sample
ENST00000040738.5:10	167551	ENSE00003620347.1	17	ENST00000040738.5	80	10	CDS (ENST00000040738.5, CDS 17 of 26, 6139bp)	ENST00000040738.5	10	23	6139	Middle	group1
ENST00000040738.5:10	167551	ENSE00003620347.1	17	ENST00000040738.5	80	10	CDS (ENST00000040738.5, CDS 17 of 26, 6139bp)	ENST00000040738.5	10	23	6139	Middle	group1
ENST00000040738.5:10	167551	ENSE00003620347.1	17	ENST00000040738.5	80	10	CDS (ENST00000040738.5, CDS 17 of 26, 6139bp)	ENST00000040738.5	10	23	6139	Middle	group1
ENST00000040738.5:10	167551	ENSE00003620347.1	17	ENST00000040738.5	80	10	CDS (ENST00000040738.5, CDS 17 of 26, 6139bp)	ENST00000040738.5	10	23	6139	Middle	group1
ENST00000040738.5:10	167551	ENSE00003620347.1	17	ENST00000040738.5	80	10	CDS (ENST00000040738.5, CDS 17 of 26, 6139bp)	ENST00000040738.5	10	23	6139	Middle	group1
ENST00000046640.3:5	518540	ENSE00003593143.1	5	ENST00000046640.3	85	5	CDS (ENST00000046640.3, CDS 12 of 12, 1303bp)	ENST00000046640.3	5	7	1303	Middle	group1
ENST00000046640.3:5	518540	ENSE00003593143.1	5	ENST00000046640.3	85	5	CDS (ENST00000046640.3, CDS 12 of 12, 1303bp)	ENST00000046640.3	5	7	1303	Middle	group1
ENST00000056217.5:13	253875	ENSE00002505698.1	13	ENST00000056217.5	71	13	CDS (ENST00000056217.5, CDS 2 of 15, 3166bp)	ENST00000056217.5	13	11	3166	Middle	group1
ENST00000056217.5:8	253870	ENSE00002481353.1	8	ENST00000056217.5	130	8	CDS (ENST00000056217.5, CDS 15 of 15, 734bp)	ENST00000056217.5	8	11	734	Middle	group1
ENST00000066544.3:1	552449	ENSE00001799129.2	19	ENST00000066544.3	3315	1	CDS (ENST00000066544.3, CDS 1 of 19, 3315bp)	ENST00000066544.3	1	15	3315	First	group1
ENST00000072869.4:1	253072	ENSE00001207548.3	1	ENST00000072869.4	1111	1	CDS (ENST00000072869.4, CDS 1 of 8, 1111bp)	ENST00000072869.4	1	71	1111	First	group1
ENST00000080059.7:1	409418	ENSE00001853912.1	26	ENST00000080059.7	1165	1	CDS (ENST00000080059.7, CDS 1 of 26, 1165bp)	ENST00000080059.7	1	23	1165	First	group1
ENST00000155674.5:1	644331	ENSE00001867638.1	8	ENST00000155674.5	847	1	CDS (ENST00000155674.5, CDS 1 of 8, 847bp)	ENST00000155674.5	1	71	847	First	group1
ENST00000157812.2:1	586286	ENSE00003220968.1	1	ENST00000157812.2	234	1	CDS (ENST00000157812.2, CDS 1 of 11, 234bp)	ENST00000157812.2	1	5	234	First	group1
ENST00000158149.3:1	539972	ENSE00001680452.1	14	ENST00000158149.3	2114	1	CDS (ENST00000158149.3, CDS 1 of 14, 2114bp)	ENST00000158149.3	1	9	2114	First	group1
ENST00000158149.3:7	539992	ENSE00003493514.1	8	ENST00000158149.3	33	7	CDS (ENST00000158149.3, CDS 14 of 14, 206bp)	ENST00000158149.3	7	9	206	Middle	group1
ENST00000158771.4:1	540956	ENSE00001117573.7	7	ENST00000158771.4	3539	1	CDS (ENST00000158771.4, CDS 1 of 7, 3539bp)	ENST00000158771.4	1	66	3539	First	group1
ENST00000159111.4:17	575664	ENSE00003653116.1	17	ENST00000159111.4	56	17	CDS (ENST00000159111.4, CDS 23 of 23, 2261bp)	ENST00000159111.4	17	20	2261	Middle	group1
ENST00000160298.4:4	576463	ENSE00001426925.1	4	ENST00000160298.4	96	4	CDS (ENST00000160298.4, CDS 11 of 17, 1477bp)	ENST00000160298.4	4	13	1477	Middle	group1
ENST00000160373.3:14	267515	ENSE00003577679.1	10	ENST00000160373.3	276	14	CDS (ENST00000160373.3, CDS 20 of 23, 1654bp)	ENST00000160373.3	14	20	1654	Middle	group1
ENST00000160373.3:14	267515	ENSE00003577679.1	10	ENST00000160373.3	276	14	CDS (ENST00000160373.3, CDS 20 of 23, 1654bp)	ENST00000160373.3	14	20	1654	Middle	group1
ENST00000162330.5:1	515732	ENSE00001515203.1	7	ENST00000162330.5	994	1	CDS (ENST00000162330.5, CDS 1 of 7, 994bp)	ENST00000162330.5	1	66	994	First	group1
ENST00000162330.5:1	515732	ENSE00001515203.1	7	ENST00000162330.5	994	1	CDS (ENST00000162330.5, CDS 1 of 7, 994bp)	ENST00000162330.5	1	66	994	First	group1
ENST00000162391.3:1	385883	ENSE00001045772.4	1	ENST00000162391.3	1131	1	CDS (ENST00000162391.3, CDS 1 of 11, 1131bp)	ENST00000162391.3	1	5	1131	First	group1
ENST00000162749.2:1	404253	ENSE00003594635.1	10	ENST00000162749.2	866	1	CDS (ENST00000162749.2, CDS 1 of 10, 866bp)	ENST00000162749.2	1	2	866	First	group1
ENST00000162749.2:1	404253	ENSE00003594635.1	10	ENST00000162749.2	866	1	CDS (ENST00000162749.2, CDS 1 of 10, 866bp)	ENST00000162749.2	1	2	866	First	group1
ENST00000163416.2:13	443365	ENSE00001762532.2	13	ENST00000163416.2	598	13	CDS (ENST00000163416.2, CDS 2 of 13, 574bp)	ENST00000163416.2	13	8	574	Middle	group1
ENST00000164024.4:13	137617	ENSE00001788364.1	23	ENST00000164024.4	127	13	CDS (ENST00000164024.4, CDS 2 of 35, 886bp)	ENST00000164024.4	13	33	886	Middle	group1
ENST00000164024.4:30	137635	ENSE00000896598.1	6	ENST00000164024.4	158	30	CDS (ENST00000164024.4, CDS 35 of 35, 4029bp)	ENST00000164024.4	30	33	4029	Middle	group1
ENST00000164024.4:30	137635	ENSE00000896598.1	6	ENST00000164024.4	158	30	CDS (ENST00000164024.4, CDS 35 of 35, 4029bp)	ENST00000164024.4	30	33	4029	Middle	group1
ENST00000170168.4:8	595596	ENSE00003513973.1	9	ENST00000170168.4	138	8	CDS (ENST00000170168.4, CDS 15 of 16, 1754bp)	ENST00000170168.4	8	12	1754	Middle	group1
ENST00000170168.4:8	595596	ENSE00003513973.1	9	ENST00000170168.4	138	8	CDS (ENST00000170168.4, CDS 15 of 16, 1754bp)	ENST00000170168.4	8	12	1754	Middle	group1
ENST00000171111.5:1	599683	ENSE00001371225.3	6	ENST00000171111.5	699	1	CDS (ENST00000171111.5, CDS 1 of 6, 699bp)	ENST00000171111.5	1	58	699	First	group1
ENST00000173898.7:5	655803	ENSE00003483472.1	5	ENST00000173898.7	64	5	CDS (ENST00000173898.7, CDS 12 of 13, 2429bp)	ENST00000173898.7	5	8	2429	Middle	group1
ENST00000174618.4:1	539494	ENSE00001279419.7	6	ENST00000174618.4	3590	1	CDS (ENST00000174618.4, CDS 1 of 6, 3590bp)	ENST00000174618.4	1	58	3590	First	group1
ENST00000175756.5:8	75341	ENSE00003580559.1	8	ENST00000175756.5	143	8	CDS (ENST00000175756.5, CDS 15 of 15, 2253bp)	ENST00000175756.5	8	11	2253	Middle	group1
ENST00000175756.5:8	75341	ENSE00003580559.1	8	ENST00000175756.5	143	8	CDS (ENST00000175756.5, CDS 15 of 15, 2253bp)	ENST00000175756.5	8	11	2253	Middle	group1
ENST00000176763.5:1	207548	ENSE00001003620.6	19	ENST00000176763.5	2950	1	CDS (ENST00000176763.5, CDS 1 of 19, 2950bp)	ENST00000176763.5	1	15	2950	First	group1
ENST00000176763.5:1	207548	ENSE00001003620.6	19	ENST00000176763.5	2950	1	CDS (ENST00000176763.5, CDS 1 of 19, 2950bp)	ENST00000176763.5	1	15	2950	First	group1
ENST00000176763.5:4	207555	ENSE00000973060.1	16	ENST00000176763.5	189	4	CDS (ENST00000176763.5, CDS 11 of 19, 549bp)	ENST00000176763.5	4	15	549	Middle	group1
ENST00000177742.3:1	503236	ENSE00001528434.1	3	ENST00000177742.3	645	1	CDS (ENST00000177742.3, CDS 1 of 3, 645bp)	ENST00000177742.3	1	27	645	First	group1
ENST00000181839.4:1	242581	ENSE00001931770.1	1	ENST00000181839.4	1816	1	CDS (ENST00000181839.4, CDS 1 of 14, 1816bp)	ENST00000181839.4	1	9	1816	First	group1
ENST00000181839.4:1	242581	ENSE00001931770.1	1	ENST00000181839.4	1816	1	CDS (ENST00000181839.4, CDS 1 of 14, 1816bp)	ENST00000181839.4	1	9	1816	First	group1
ENST00000181839.4:7	242594	ENSE00003629850.1	7	ENST00000181839.4	57	7	CDS (ENST00000181839.4, CDS 14 of 14, 3005bp)	ENST00000181839.4	7	9	3005	Middle	group1
ENST00000182527.3:1	230362	ENSE00001183055.7	11	ENST00000182527.3	5869	1	CDS (ENST00000182527.3, CDS 1 of 11, 5869bp)	ENST00000182527.3	1	5	5869	First	group1
ENST00000182527.3:1	230362	ENSE00001183055.7	11	ENST00000182527.3	5869	1	CDS (ENST00000182527.3, CDS 1 of 11, 5869bp)	ENST00000182527.3	1	5	5869	First	group1
ENST00000184266.2:1	123613	ENSE00001732823.2	1	ENST00000184266.2	231	1	CDS (ENST00000184266.2, CDS 1 of 3, 231bp)	ENST00000184266.2	1	27	231	First	group1
ENST00000184956.6:1	554743	ENSE00001431440.3	20	ENST00000184956.6	941	1	CDS (ENST00000184956.6, CDS 1 of 20, 941bp)	ENST00000184956.6	1	17	941	First	group1
ENST00000184956.6:1	554743	ENSE00001431440.3	20	ENST00000184956.6	941	1	CDS (ENST00000184956.6, CDS 1 of 20, 941bp)	ENST00000184956.6	1	17	941	First	group1
ENST00000186436.5:4	98219	ENSE00003654587.1	38	ENST00000186436.5	97	4	CDS (ENST00000186436.5, CDS 11 of 41, 599bp)	ENST00000186436.5	4	40	599	Middle	group1
ENST00000186436.5:4	98219	ENSE00003654587.1	38	ENST00000186436.5	97	4	CDS (ENST00000186436.5, CDS 11 of 41, 599bp)	ENST00000186436.5	4	40	599	Middle	group1
ENST00000192788.5:15	214568	ENSE00002261815.1	15	ENST00000192788.5	197	15	CDS (ENST00000192788.5, CDS 21 of 21, 5202bp)	ENST00000192788.5	15	18	5202	Middle	group1
ENST00000192788.5:7	214560	ENSE00000849560.1	7	ENST00000192788.5	171	7	CDS (ENST00000192788.5, CDS 14 of 21, 1448bp)	ENST00000192788.5	7	18	1448	Middle	group1
ENST00000192788.5:7	214560	ENSE00000849560.1	7	ENST00000192788.5	171	7	CDS (ENST00000192788.5, CDS 14 of 21, 1448bp)	ENST00000192788.5	7	18	1448	Middle	group1
ENST00000193403.6:15	452992	ENSE00003497180.1	7	ENST00000193403.6	82	15	CDS (ENST00000193403.6, CDS 21 of 21, 489bp)	ENST00000193403.6	15	18	489	Middle	group1
ENST00000194900.4:15	656395	ENSE00003595614.1	15	ENST00000194900.4	42	15	CDS (ENST00000194900.4, CDS 21 of 21, 3325bp)	ENST00000194900.4	15	18	3325	Middle	group1
ENST00000198767.6:1	506433	ENSE00001869221.1	18	ENST00000198767.6	1884	1	CDS (ENST00000198767.6, CDS 1 of 18, 1884bp)	ENST00000198767.6	1	14	1884	First	group1
ENST00000202017.4:1	625368	ENSE00001109504.7	5	ENST00000202017.4	935	1	CDS (ENST00000202017.4, CDS 1 of 5, 935bp)	ENST00000202017.4	1	48	935	First	group1
ENST00000202028.5:14	619106	ENSE00003476905.1	14	ENST00000202028.5	411	14	CDS (ENST00000202028.5, CDS 20 of 20, 1010bp)	ENST00000202028.5	14	17	1010	Middle	group1
ENST00000202028.5:14	619106	ENSE00003476905.1	14	ENST00000202028.5	411	14	CDS (ENST00000202028.5, CDS 20 of 20, 1010bp)	ENST00000202028.5	14	17	1010	Middle	group1
ENST00000202028.5:7	619094	ENSE00003679436.1	7	ENST00000202028.5	219	7	CDS (ENST00000202028.5, CDS 14 of 20, 411bp)	ENST00000202028.5	7	17	411	Middle	group1
ENST00000202556.9:1	457082	ENSE00001683072.2	17	ENST00000202556.9	1444	1	CDS (ENST00000202556.9, CDS 1 of 17, 1444bp)	ENST00000202556.9	1	13	1444	First	group1
ENST00000204726.3:1	423304	ENSE00001511429.1	24	ENST00000204726.3	4386	1	CDS (ENST00000204726.3, CDS 1 of 24, 4386bp)	ENST00000204726.3	1	21	4386	First	group1
ENST00000204726.3:1	423304	ENSE00001511429.1	24	ENST00000204726.3	4386	1	CDS (ENST00000204726.3, CDS 1 of 24, 4386bp)	ENST00000204726.3	1	21	4386	First	group1
ENST00000204726.3:1	423304	ENSE00001511429.1	24	ENST00000204726.3	4386	1	CDS (ENST00000204726.3, CDS 1 of 24, 4386bp)	ENST00000204726.3	1	21	4386	First	group1
ENST00000204726.3:14	423324	ENSE00000577692.1	11	ENST00000204726.3	369	14	CDS (ENST00000204726.3, CDS 20 of 24, 659bp)	ENST00000204726.3	14	21	659	Middle	group1
ENST00000205061.5:1	515427	ENSE00002609448.1	27	ENST00000205061.5	174	1	CDS (ENST00000205061.5, CDS 1 of 27, 174bp)	ENST00000205061.5	1	24	174	First	group1
ENST00000205061.5:13	515463	ENSE00003683487.1	15	ENST00000205061.5	114	13	CDS (ENST00000205061.5, CDS 2 of 27, 164bp)	ENST00000205061.5	13	24	164	Middle	group1
ENST00000206423.3:1	143290	ENSE00001846825.1	8	ENST00000206423.3	1204	1	CDS (ENST00000206423.3, CDS 1 of 8, 1204bp)	ENST00000206423.3	1	71	1204	First	group1
ENST00000210313.3:1	316583	ENSE00001853489.1	10	ENST00000210313.3	2111	1	CDS (ENST00000210313.3, CDS 1 of 10, 2111bp)	ENST00000210313.3	1	2	2111	First	group1
ENST00000211998.4:1	325948	ENSE00002288595.1	1	ENST00000211998.4	262	1	CDS (ENST00000211998.4, CDS 1 of 22, 262bp)	ENST00000211998.4	1	19	262	First	group1
ENST00000211998.4:16	325975	ENSE00000986364.1	16	ENST00000211998.4	303	16	CDS (ENST00000211998.4, CDS 22 of 22, 2130bp)	ENST00000211998.4	16	19	2130	Middle	group1
ENST00000215570.3:1	595930	ENSE00001052192.3	3	ENST00000215570.3	1423	1	CDS (ENST00000215570.3, CDS 1 of 3, 1423bp)	ENST00000215570.3	1	27	1423	First	group1
ENST00000215754.7:1	638530	ENSE00001922200.1	1	ENST00000215754.7	579	1	CDS (ENST00000215754.7, CDS 1 of 3, 579bp)	ENST00000215754.7	1	27	579	First	group1
ENST00000215790.7:1	647442	ENSE00001920365.1	9	ENST00000215790.7	862	1	CDS (ENST00000215790.7, CDS 1 of 9, 862bp)	ENST00000215790.7	1	76	862	First	group1
ENST00000215829.3:1	638793	ENSE00001948969.1	1	ENST00000215829.3	569	1	CDS (ENST00000215829.3, CDS 1 of 4, 569bp)	ENST00000215829.3	1	38	569	First	group1
ENST00000215957.6:9	641481	ENSE00003666429.1	9	ENST00000215957.6	416	9	CDS (ENST00000215957.6, CDS 16 of 16, 2114bp)	ENST00000215957.6	9	12	2114	Middle	group1
ENST00000216037.6:1	647028	ENSE00001847157.1	5	ENST00000216037.6	1178	1	CDS (ENST00000216037.6, CDS 1 of 5, 1178bp)	ENST00000216037.6	1	48	1178	First	group1
ENST00000216037.6:1	647028	ENSE00001847157.1	5	ENST00000216037.6	1178	1	CDS (ENST00000216037.6, CDS 1 of 5, 1178bp)	ENST00000216037.6	1	48	1178	First	group1
ENST00000216038.5:1	648126	ENSE00000879969.8	12	ENST00000216038.5	518	1	CDS (ENST00000216038.5, CDS 1 of 12, 518bp)	ENST00000216038.5	1	7	518	First	group1
ENST00000216039.5:1	649457	ENSE00001122538.5	4	ENST00000216039.5	2459	1	CDS (ENST00000216039.5, CDS 1 of 4, 2459bp)	ENST00000216039.5	1	38	2459	First	group1
ENST00000216122.4:10	640862	ENSE00003465175.1	10	ENST00000216122.4	144	10	CDS (ENST00000216122.4, CDS 17 of 17, 1277bp)	ENST00000216122.4	10	13	1277	Middle	group1
ENST00000216160.6:4	641855	ENSE00000654726.1	4	ENST00000216160.6	87	4	CDS (ENST00000216160.6, CDS 11 of 11, 1868bp)	ENST00000216160.6	4	5	1868	Middle	group1
ENST00000216160.6:4	641855	ENSE00000654726.1	4	ENST00000216160.6	87	4	CDS (ENST00000216160.6, CDS 11 of 11, 1868bp)	ENST00000216160.6	4	5	1868	Middle	group1
ENST00000216181.5:1	648509	ENSE00001230540.6	41	ENST00000216181.5	1505	1	CDS (ENST00000216181.5, CDS 1 of 41, 1505bp)	ENST00000216181.5	1	40	1505	First	group1
ENST00000216181.5:37	648570	ENSE00003604645.1	5	ENST00000216181.5	94	37	CDS (ENST00000216181.5, CDS 41 of 41, 212bp)	ENST00000216181.5	37	40	212	Middle	group1
ENST00000216181.5:7	648522	ENSE00000653608.1	35	ENST00000216181.5	129	7	CDS (ENST00000216181.5, CDS 14 of 41, 207bp)	ENST00000216181.5	7	40	207	Middle	group1
ENST00000216214.3:2	643284	ENSE00001046455.2	2	ENST00000216214.3	156	2	CDS (ENST00000216214.3, CDS 10 of 10, 1570bp)	ENST00000216214.3	2	2	1570	Last	group1
ENST00000216237.5:10	642314	ENSE00003518766.1	10	ENST00000216237.5	77	10	CDS (ENST00000216237.5, CDS 17 of 17, 1133bp)	ENST00000216237.5	10	13	1133	Middle	group1
ENST00000216237.5:10	642314	ENSE00003518766.1	10	ENST00000216237.5	77	10	CDS (ENST00000216237.5, CDS 17 of 17, 1133bp)	ENST00000216237.5	10	13	1133	Middle	group1
ENST00000216237.5:10	642314	ENSE00003518766.1	10	ENST00000216237.5	77	10	CDS (ENST00000216237.5, CDS 17 of 17, 1133bp)	ENST00000216237.5	10	13	1133	Middle	group1
ENST00000216252.3:1	649916	ENSE00001202354.3	4	ENST00000216252.3	771	1	CDS (ENST00000216252.3, CDS 1 of 4, 771bp)	ENST00000216252.3	1	38	771	First	group1
ENST00000216254.4:11	642404	ENSE00000655869.1	11	ENST00000216254.4	74	11	CDS (ENST00000216254.4, CDS 18 of 18, 511bp)	ENST00000216254.4	11	14	511	Middle	group1
ENST00000216254.4:11	642404	ENSE00000655869.1	11	ENST00000216254.4	74	11	CDS (ENST00000216254.4, CDS 18 of 18, 511bp)	ENST00000216254.4	11	14	511	Middle	group1
ENST00000216254.4:9	642400	ENSE00003509924.1	9	ENST00000216254.4	106	9	CDS (ENST00000216254.4, CDS 16 of 18, 133bp)	ENST00000216254.4	9	14	133	Middle	group1
ENST00000216264.8:1	650808	ENSE00001227137.7	13	ENST00000216264.8	2796	1	CDS (ENST00000216264.8, CDS 1 of 13, 2796bp)	ENST00000216264.8	1	8	2796	First	group1
ENST00000216267.8:5	650924	ENSE00003480403.1	8	ENST00000216267.8	136	5	CDS (ENST00000216267.8, CDS 12 of 12, 1854bp)	ENST00000216267.8	5	7	1854	Middle	group1
ENST00000216277.8:16	444019	ENSE00003650700.1	16	ENST00000216277.8	122	16	CDS (ENST00000216277.8, CDS 22 of 22, 2157bp)	ENST00000216277.8	16	19	2157	Middle	group1
ENST00000216281.8:4	456710	ENSE00003681817.1	8	ENST00000216281.8	148	4	CDS (ENST00000216281.8, CDS 11 of 11, 206bp)	ENST00000216281.8	4	5	206	Middle	group1
ENST00000216297.2:1	447117	ENSE00000889083.4	26	ENST00000216297.2	1347	1	CDS (ENST00000216297.2, CDS 1 of 26, 1347bp)	ENST00000216297.2	1	23	1347	First	group1
ENST00000216361.4:2	436488	ENSE00000654637.1	2	ENST00000216361.4	48	2	CDS (ENST00000216361.4, CDS 10 of 11, 517bp)	ENST00000216361.4	2	5	517	Middle	group1
ENST00000216373.5:1	450855	ENSE00001174956.4	23	ENST00000216373.5	1725	1	CDS (ENST00000216373.5, CDS 1 of 23, 1725bp)	ENST00000216373.5	1	20	1725	First	group1
ENST00000216468.7:1	454319	ENSE00001231326.9	6	ENST00000216468.7	6968	1	CDS (ENST00000216468.7, CDS 1 of 6, 6968bp)	ENST00000216468.7	1	58	6968	First	group1
ENST00000216484.2:1	454423	ENSE00001202072.3	12	ENST00000216484.2	6407	1	CDS (ENST00000216484.2, CDS 1 of 12, 6407bp)	ENST00000216484.2	1	7	6407	First	group1
ENST00000216487.7:2	443312	ENSE00001380171.2	2	ENST00000216487.7	205	2	CDS (ENST00000216487.7, CDS 10 of 10, 1069bp)	ENST00000216487.7	2	2	1069	Last	group1
ENST00000216489.3:1	454450	ENSE00001158423.5	6	ENST00000216489.3	1838	1	CDS (ENST00000216489.3, CDS 1 of 6, 1838bp)	ENST00000216489.3	1	58	1838	First	group1
ENST00000217131.5:1	628693	ENSE00000845864.8	6	ENST00000217131.5	575	1	CDS (ENST00000217131.5, CDS 1 of 6, 575bp)	ENST00000217131.5	1	58	575	First	group1
ENST00000217381.2:1	625529	ENSE00001952368.1	8	ENST00000217381.2	645	1	CDS (ENST00000217381.2, CDS 1 of 8, 645bp)	ENST00000217381.2	1	71	645	First	group1
ENST00000217446.3:1	625705	ENSE00001414279.1	12	ENST00000217446.3	438	1	CDS (ENST00000217446.3, CDS 1 of 12, 438bp)	ENST00000217446.3	1	7	438	First	group1
ENST00000217652.3:1	561899	ENSE00001228981.1	1	ENST00000217652.3	380	1	CDS (ENST00000217652.3, CDS 1 of 4, 380bp)	ENST00000217652.3	1	38	380	First	group1
ENST00000217961.4:2	652159	ENSE00000847543.1	2	ENST00000217961.4	141	2	CDS (ENST00000217961.4, CDS 10 of 10, 4923bp)	ENST00000217961.4	2	2	4923	Last	group1
ENST00000218104.3:1	660967	ENSE00000868271.5	1	ENST00000218104.3	1299	1	CDS (ENST00000218104.3, CDS 1 of 10, 1299bp)	ENST00000218104.3	1	2	1299	First	group1
ENST00000218104.3:1	660967	ENSE00000868271.5	1	ENST00000218104.3	1299	1	CDS (ENST00000218104.3, CDS 1 of 10, 1299bp)	ENST00000218104.3	1	2	1299	First	group1
ENST00000218147.7:6	659457	ENSE00001155161.1	6	ENST00000218147.7	81	6	CDS (ENST00000218147.7, CDS 13 of 13, 1810bp)	ENST00000218147.7	6	8	1810	Middle	group1
ENST00000219066.1:1	503520	ENSE00000873724.3	6	ENST00000219066.1	233	1	CDS (ENST00000219066.1, CDS 1 of 6, 233bp)	ENST00000219066.1	1	58	233	First	group1
ENST00000219069.5:1	487002	ENSE00002653913.1	1	ENST00000219069.5	1263	1	CDS (ENST00000219069.5, CDS 1 of 6, 1263bp)	ENST00000219069.5	1	58	1263	First	group1
ENST00000219139.3:9	496834	ENSE00000945610.1	9	ENST00000219139.3	134	9	CDS (ENST00000219139.3, CDS 16 of 16, 1495bp)	ENST00000219139.3	9	12	1495	Middle	group1
ENST00000219343.6:4	497940	ENSE00003637599.1	4	ENST00000219343.6	126	4	CDS (ENST00000219343.6, CDS 11 of 11, 4586bp)	ENST00000219343.6	4	5	4586	Middle	group1
ENST00000219343.6:4	497940	ENSE00003637599.1	4	ENST00000219343.6	126	4	CDS (ENST00000219343.6, CDS 11 of 11, 4586bp)	ENST00000219343.6	4	5	4586	Middle	group1
ENST00000219343.6:4	497940	ENSE00003637599.1	4	ENST00000219343.6	126	4	CDS (ENST00000219343.6, CDS 11 of 11, 4586bp)	ENST00000219343.6	4	5	4586	Middle	group1
ENST00000219478.6:1	505168	ENSE00002903692.1	6	ENST00000219478.6	4820	1	CDS (ENST00000219478.6, CDS 1 of 6, 4820bp)	ENST00000219478.6	1	58	4820	First	group1
ENST00000219611.2:7	484372	ENSE00000664284.1	7	ENST00000219611.2	224	7	CDS (ENST00000219611.2, CDS 14 of 14, 1298bp)	ENST00000219611.2	7	9	1298	Middle	group1
ENST00000219689.7:1	508278	ENSE00001318477.8	16	ENST00000219689.7	8211	1	CDS (ENST00000219689.7, CDS 1 of 16, 8211bp)	ENST00000219689.7	1	12	8211	First	group1
ENST00000219689.7:1	508278	ENSE00001318477.8	16	ENST00000219689.7	8211	1	CDS (ENST00000219689.7, CDS 1 of 16, 8211bp)	ENST00000219689.7	1	12	8211	First	group1
ENST00000219689.7:1	508278	ENSE00001318477.8	16	ENST00000219689.7	8211	1	CDS (ENST00000219689.7, CDS 1 of 16, 8211bp)	ENST00000219689.7	1	12	8211	First	group1
ENST00000219689.7:1	508278	ENSE00001318477.8	16	ENST00000219689.7	8211	1	CDS (ENST00000219689.7, CDS 1 of 16, 8211bp)	ENST00000219689.7	1	12	8211	First	group1
ENST00000219689.7:1	508278	ENSE00001318477.8	16	ENST00000219689.7	8211	1	CDS (ENST00000219689.7, CDS 1 of 16, 8211bp)	ENST00000219689.7	1	12	8211	First	group1
ENST00000220003.9:6	466074	ENSE00003462348.1	6	ENST00000220003.9	94	6	CDS (ENST00000220003.9, CDS 13 of 13, 868bp)	ENST00000220003.9	6	8	868	Middle	group1
ENST00000220325.4:1	473432	ENSE00000391391.5	6	ENST00000220325.4	2430	1	CDS (ENST00000220325.4, CDS 1 of 6, 2430bp)	ENST00000220325.4	1	58	2430	First	group1
ENST00000220592.5:1	294906	ENSE00001314254.3	19	ENST00000220592.5	988	1	CDS (ENST00000220592.5, CDS 1 of 19, 988bp)	ENST00000220592.5	1	15	988	First	group1
ENST00000220751.4:4	279410	ENSE00003459316.1	4	ENST00000220751.4	158	4	CDS (ENST00000220751.4, CDS 11 of 11, 985bp)	ENST00000220751.4	4	5	985	Middle	group1
ENST00000220966.6:1	295756	ENSE00001222172.3	6	ENST00000220966.6	1970	1	CDS (ENST00000220966.6, CDS 1 of 6, 1970bp)	ENST00000220966.6	1	58	1970	First	group1
ENST00000220966.6:1	295756	ENSE00001222172.3	6	ENST00000220966.6	1970	1	CDS (ENST00000220966.6, CDS 1 of 6, 1970bp)	ENST00000220966.6	1	58	1970	First	group1
ENST00000221214.6:23	460903	ENSE00003548814.1	23	ENST00000221214.6	146	23	CDS (ENST00000221214.6, CDS 29 of 29, 2645bp)	ENST00000221214.6	23	26	2645	Middle	group1
ENST00000221265.3:1	607206	ENSE00001141439.6	14	ENST00000221265.3	552	1	CDS (ENST00000221265.3, CDS 1 of 14, 552bp)	ENST00000221265.3	1	9	552	First	group1
