anno	seqnames	start	end	width	peak	groupname	gene_type	gene_name	location	transcriptID
CDS (ENST00000158771.4, CDS 1 of 7, 106bp)	chr17	5377663	5378012	350	chr17:5377663-5378012|Locus_4284	group1	protein_coding	DERL2	CDS	ENST00000158771.4
CDS (ENST00000159087.4, CDS 2 of 18, 670bp)	chr19	17435914	17435988	75	chr19:17435914-17435988|Locus_5752	group1	protein_coding	ANO8	CDS	ENST00000159087.4
UTR3 (ENST00000159111.4)	chr19	5151701	5151850	150	chr19:5151701-5151850|Locus_2151	group1	protein_coding	KDM4B	UTR3	ENST00000159111.4
CDS (ENST00000160298.4, CDS 11 of 17, 1477bp)	chr19	7677498	7677647	150	chr19:7677498-7677647|Locus_5709	group1	protein_coding	CAMSAP3	CDS	ENST00000160298.4
CDS (ENST00000160373.3, CDS 20 of 23, 1654bp)	chr7	117431923	117432047	125	chr7:117431923-117432047|Locus_7533	group1	protein_coding	CTTNBP2	CDS	ENST00000160373.3
CDS (ENST00000160373.3, CDS 20 of 23, 1654bp)	chr7	117431223	117431272	50	chr7:117431223-117431272|Locus_7534	group1	protein_coding	CTTNBP2	CDS	ENST00000160373.3
CDS (ENST00000162330.5, CDS 6 of 7, 621bp)	chr16	75276769	75276968	200	chr16:75276769-75276968|Locus_8515	group1	protein_coding	BCAR1	CDS	ENST00000162330.5
CDS (ENST00000162330.5, CDS 6 of 7, 621bp)	chr16	75272907	75276718	3812	chr16:75272907-75276718|Locus_8516	group1	protein_coding	BCAR1	CDS	ENST00000162330.5
CDS (ENST00000162330.5, CDS 5 of 7, 162bp)	chr16	75270802	75271160	359	chr16:75270802-75271160|Locus_8517	group1	protein_coding	BCAR1	CDS	ENST00000162330.5
CDS (ENST00000162330.5, CDS 3 of 7, 1098bp)	chr16	75269828	75269952	125	chr16:75269828-75269952|Locus_8518	group1	protein_coding	BCAR1	CDS	ENST00000162330.5
CDS (ENST00000162330.5, CDS 3 of 7, 1098bp)	chr16	75263328	75269802	6475	chr16:75263328-75269802|Locus_8519	group1	protein_coding	BCAR1	CDS	ENST00000162330.5
UTR3 (ENST00000162330.5)	chr16	75263178	75263227	50	chr16:75263178-75263227|Locus_8520	group1	protein_coding	BCAR1	UTR3	ENST00000162330.5
UTR3 (ENST00000162330.5)	chr16	75262953	75263127	175	chr16:75262953-75263127|Locus_8521	group1	protein_coding	BCAR1	UTR3	ENST00000162330.5
UTR5 (ENST00000162391.3)	chr12	8185834	8185983	150	chr12:8185834-8185983|Locus_5280	group1	protein_coding	FOXJ2	UTR5	ENST00000162391.3
CDS (ENST00000162749.2, CDS 1 of 10, 311bp)	chr12	6438123	6438622	500	chr12:6438123-6438622|Locus_6620	group1	protein_coding	TNFRSF1A	CDS	ENST00000162749.2
UTR3 (ENST00000162749.2)	chr12	6437923	6438022	100	chr12:6437923-6438022|Locus_6621	group1	protein_coding	TNFRSF1A	UTR3	ENST00000162749.2
CDS (ENST00000163416.2, CDS 1 of 12, 544bp)	chr14	93263826	93264200	375	chr14:93263826-93264200|Locus_8835	group1	protein_coding	GOLGA5	CDS	ENST00000163416.2
CDS (ENST00000163416.2, CDS 2 of 12, 228bp)	chr14	93273305	93275765	2461	chr14:93273305-93275765|Locus_8836	group1	protein_coding	GOLGA5	CDS	ENST00000163416.2
CDS (ENST00000164024.4, CDS 35 of 35, 3748bp)	chr3	48697145	48697219	75	chr3:48697145-48697219|Locus_240	group1	protein_coding	CELSR3	CDS	ENST00000164024.4
CDS (ENST00000164024.4, CDS 35 of 35, 3748bp)	chr3	48696620	48696819	200	chr3:48696620-48696819|Locus_241	group1	protein_coding	CELSR3	CDS	ENST00000164024.4
CDS (ENST00000164024.4, CDS 2 of 35, 886bp)	chr3	48677141	48677540	400	chr3:48677141-48677540|Locus_242	group1	protein_coding	CELSR3	CDS	ENST00000164024.4
UTR3 (ENST00000166139.4)	chr19	682867	682941	75	chr19:682867-682941|Locus_364	group1	protein_coding	FSTL3	UTR3	ENST00000166139.4
CDS (ENST00000170168.4, CDS 15 of 16, 1754bp)	chr19	1827868	1828367	500	chr19:1827868-1828367|Locus_88	group1	protein_coding	REXO1	CDS	ENST00000170168.4
CDS (ENST00000170168.4, CDS 15 of 16, 1754bp)	chr19	1827043	1827642	600	chr19:1827043-1827642|Locus_89	group1	protein_coding	REXO1	CDS	ENST00000170168.4
CDS (ENST00000171111.5, CDS 4 of 5, 686bp)	chr19	10600523	10602420	1898	chr19:10600523-10602420|Locus_8714	group1	protein_coding	KEAP1	CDS	ENST00000171111.5
UTR3 (ENST00000171111.5)	chr19	10597146	10597295	150	chr19:10597146-10597295|Locus_8715	group1	protein_coding	KEAP1	UTR3	ENST00000171111.5
CDS (ENST00000173898.7, CDS 11 of 11, 2418bp)	chrX	54956894	54957343	450	chrX:54956894-54957343|Locus_6647	group1	protein_coding	TRO	CDS	ENST00000173898.7
CDS (ENST00000174618.4, CDS 5 of 6, 580bp)	chr17	2298332	2298381	50	chr17:2298332-2298381|Locus_4027	group1	protein_coding	MNT	CDS	ENST00000174618.4
CDS (ENST00000174618.4, CDS 1 of 6, 749bp)	chr17	2290529	2290628	100	chr17:2290529-2290628|Locus_4028	group1	protein_coding	MNT	CDS	ENST00000174618.4
UTR3 (ENST00000174618.4)	chr17	2289704	2290003	300	chr17:2289704-2290003|Locus_4029	group1	protein_coding	MNT	UTR3	ENST00000174618.4
CDS (ENST00000175091.4, CDS 7 of 7, 111bp)	chr2	20251245	20251344	100	chr2:20251245-20251344|Locus_8655	group1	protein_coding	LAPTM4A	CDS	ENST00000175091.4
UTR3 (ENST00000175756.5)	chr2	131130926	131130975	50	chr2:131130926-131130975|Locus_2991	group1	protein_coding	PTPN18	UTR3	ENST00000175756.5
UTR3 (ENST00000175756.5)	chr2	131131051	131131500	450	chr2:131131051-131131500|Locus_2992	group1	protein_coding	PTPN18	UTR3	ENST00000175756.5
CDS (ENST00000176763.5, CDS 11 of 19, 549bp)	chr5	171510080	171520875	10796	chr5:171510080-171520875|Locus_6497	group1	protein_coding	STK10	CDS	ENST00000176763.5
UTR3 (ENST00000176763.5)	chr5	171471624	171471773	150	chr5:171471624-171471773|Locus_6498	group1	protein_coding	STK10	UTR3	ENST00000176763.5
UTR3 (ENST00000176763.5)	chr5	171470574	171470798	225	chr5:171470574-171470798|Locus_6499	group1	protein_coding	STK10	UTR3	ENST00000176763.5
CDS (ENST00000177742.3, CDS 1 of 3, 314bp)	chr16	1821896	1822270	375	chr16:1821896-1822270|Locus_6379	group1	protein_coding	MRPS34	CDS	ENST00000177742.3
CDS (ENST00000181839.4, CDS 1 of 14, 1211bp)	chr7	39989959	39990433	475	chr7:39989959-39990433|Locus_7932	group1	protein_coding	CDK13	CDS	ENST00000181839.4
CDS (ENST00000181839.4, CDS 1 of 14, 1211bp)	chr7	39990984	40027854	36871	chr7:39990984-40027854|Locus_7933	group1	protein_coding	CDK13	CDS	ENST00000181839.4
CDS (ENST00000181839.4, CDS 14 of 14, 851bp)	chr7	40133881	40134755	875	chr7:40133881-40134755|Locus_7934	group1	protein_coding	CDK13	CDS	ENST00000181839.4
UTR3 (ENST00000182527.3)	chr6	52366975	52367374	400	chr6:52366975-52367374|Locus_8610	group1	protein_coding	TRAM2	UTR3	ENST00000182527.3
UTR3 (ENST00000182527.3)	chr6	52366700	52366824	125	chr6:52366700-52366824|Locus_8611	group1	protein_coding	TRAM2	UTR3	ENST00000182527.3
CDS (ENST00000184266.2, CDS 1 of 3, 180bp)	chr3	120315228	120315277	50	chr3:120315228-120315277|Locus_4128	group1	protein_coding	NDUFB4	CDS	ENST00000184266.2
CDS (ENST00000184956.6, CDS 1 of 20, 572bp)	chr17	58120952	58121351	400	chr17:58120952-58121351|Locus_6019	group1	protein_coding	HEATR6	CDS	ENST00000184956.6
UTR3 (ENST00000184956.6)	chr17	58120677	58120851	175	chr17:58120677-58120851|Locus_6020	group1	protein_coding	HEATR6	UTR3	ENST00000184956.6
CDS (ENST00000186436.5, CDS 11 of 41, 599bp)	chr2	98409172	98409221	50	chr2:98409172-98409221|Locus_2583	group1	protein_coding	TMEM131	CDS	ENST00000186436.5
CDS (ENST00000186436.5, CDS 11 of 41, 599bp)	chr2	98392405	98408946	16542	chr2:98392405-98408946|Locus_2584	group1	protein_coding	TMEM131	CDS	ENST00000186436.5
CDS (ENST00000192314.6, CDS 4 of 4, 822bp)	chr2	242743479	242743528	50	chr2:242743479-242743528|Locus_6050	group1	protein_coding	GAL3ST2	CDS	ENST00000192314.6
CDS (ENST00000192788.5, CDS 14 of 21, 1448bp)	chr6	34826483	34826832	350	chr6:34826483-34826832|Locus_4826	group1	protein_coding	UHRF1BP1	CDS	ENST00000192788.5
CDS (ENST00000192788.5, CDS 14 of 21, 1448bp)	chr6	34826908	34827332	425	chr6:34826908-34827332|Locus_4827	group1	protein_coding	UHRF1BP1	CDS	ENST00000192788.5
UTR3 (ENST00000192788.5)	chr6	34840222	34840496	275	chr6:34840222-34840496|Locus_4828	group1	protein_coding	UHRF1BP1	UTR3	ENST00000192788.5
CDS (ENST00000193403.6, CDS 21 of 21, 105bp)	chr14	69445729	69445953	225	chr14:69445729-69445953|Locus_7970	group1	protein_coding	ACTN1	CDS	ENST00000193403.6
UTR3 (ENST00000194900.4)	chrX	69722508	69722582	75	chrX:69722508-69722582|Locus_1640	group1	protein_coding	DLG3	UTR3	ENST00000194900.4
CDS (ENST00000196548.5, CDS 4 of 4, 1439bp)	chr19	58805808	58806182	375	chr19:58805808-58806182|Locus_6771	group1	protein_coding	ZNF8	CDS	ENST00000196548.5
CDS (ENST00000196548.5, CDS 4 of 4, 1439bp)	chr19	58806483	58806857	375	chr19:58806483-58806857|Locus_6772	group1	protein_coding	ZNF8	CDS	ENST00000196548.5
UTR3 (ENST00000198767.6)	chr16	15155354	15155553	200	chr16:15155354-15155553|Locus_4742	group1	protein_coding	RRN3	UTR3	ENST00000198767.6
CDS (ENST00000200453.5, CDS 1 of 2, 1665bp)	chr19	49376847	49376896	50	chr19:49376847-49376896|Locus_2650	group1	protein_coding	PPP1R15A	CDS	ENST00000200453.5
CDS (ENST00000200453.5, CDS 1 of 2, 1665bp)	chr19	49376922	49376971	50	chr19:49376922-49376971|Locus_2651	group1	protein_coding	PPP1R15A	CDS	ENST00000200453.5
CDS (ENST00000202017.4, CDS 5 of 5, 87bp)	chr20	30538174	30539735	1562	chr20:30538174-30539735|Locus_7362	group1	protein_coding	PDRG1	CDS	ENST00000202017.4
UTR3 (ENST00000202017.4)	chr20	30533183	30533482	300	chr20:30533183-30533482|Locus_7363	group1	protein_coding	PDRG1	UTR3	ENST00000202017.4
CDS (ENST00000202028.5, CDS 12 of 18, 411bp)	chr20	34797580	34797704	125	chr20:34797580-34797704|Locus_1837	group1	protein_coding	EPB41L1	CDS	ENST00000202028.5
UTR3 (ENST00000202028.5)	chr20	34817405	34817504	100	chr20:34817405-34817504|Locus_1838	group1	protein_coding	EPB41L1	UTR3	ENST00000202028.5
UTR3 (ENST00000202028.5)	chr20	34817530	34817704	175	chr20:34817530-34817704|Locus_1839	group1	protein_coding	EPB41L1	UTR3	ENST00000202028.5
UTR3 (ENST00000202556.9)	chr14	104201088	104201137	50	chr14:104201088-104201137|Locus_2500	group1	protein_coding	PPP1R13B	UTR3	ENST00000202556.9
UTR3 (ENST00000203664.5)	chr14	94512349	94512498	150	chr14:94512349-94512498|Locus_6868	group1	protein_coding	OTUB2	UTR3	ENST00000203664.5
UTR3 (ENST00000203664.5)	chr14	94513299	94513473	175	chr14:94513299-94513473|Locus_6869	group1	protein_coding	OTUB2	UTR3	ENST00000203664.5
CDS (ENST00000204726.3, CDS 20 of 23, 659bp)	chr12	133384648	133384997	350	chr12:133384648-133384997|Locus_3133	group1	protein_coding	GOLGA3	CDS	ENST00000204726.3
CDS (ENST00000204726.3, CDS 1 of 23, 190bp)	chr12	133349520	133349844	325	chr12:133349520-133349844|Locus_3134	group1	protein_coding	GOLGA3	CDS	ENST00000204726.3
UTR3 (ENST00000204726.3)	chr12	133348295	133348519	225	chr12:133348295-133348519|Locus_3135	group1	protein_coding	GOLGA3	UTR3	ENST00000204726.3
UTR3 (ENST00000204726.3)	chr12	133347945	133348144	200	chr12:133347945-133348144|Locus_3136	group1	protein_coding	GOLGA3	UTR3	ENST00000204726.3
CDS (ENST00000205061.5, CDS 2 of 27, 164bp)	chr16	74487051	74487125	75	chr16:74487051-74487125|Locus_3104	group1	protein_coding	GLG1	CDS	ENST00000205061.5
CDS (ENST00000205061.5, CDS 1 of 27, 76bp)	chr16	74485926	74486900	975	chr16:74485926-74486900|Locus_3106	group1	protein_coding	GLG1	CDS	ENST00000205061.5
CDS (ENST00000205194.4, CDS 2 of 2, 549bp)	chr19	55997786	55997835	50	chr19:55997786-55997835|Locus_5477	group1	protein_coding	NAT14	CDS	ENST00000205194.4
CDS (ENST00000206423.3, CDS 7 of 7, 1878bp)	chr3	112357835	112359694	1860	chr3:112357835-112359694|Locus_1443	group1	protein_coding	CCDC80	CDS	ENST00000206423.3
CDS (ENST00000206423.3, CDS 7 of 7, 1878bp)	chr3	112357060	112357659	600	chr3:112357060-112357659|Locus_1444	group1	protein_coding	CCDC80	CDS	ENST00000206423.3
UTR3 (ENST00000206423.3)	chr3	112324034	112324233	200	chr3:112324034-112324233|Locus_1445	group1	protein_coding	CCDC80	UTR3	ENST00000206423.3
CDS (ENST00000209884.4, CDS 2 of 11, 574bp)	chr1	173703212	173703411	200	chr1:173703212-173703411|Locus_3084	group1	protein_coding	KLHL20	CDS	ENST00000209884.4
CDS (ENST00000210313.3, CDS 1 of 10, 258bp)	chr9	123580132	123580331	200	chr9:123580132-123580331|Locus_5478	group1	protein_coding	PSMD5	CDS	ENST00000210313.3
CDS (ENST00000211998.4, CDS 1 of 22, 168bp)	chr10	75757893	75776598	18706	chr10:75757893-75776598|Locus_6714	group1	protein_coding	VCL	CDS	ENST00000211998.4
UTR3 (ENST00000211998.4)	chr10	75878158	75878332	175	chr10:75878158-75878332|Locus_6715	group1	protein_coding	VCL	UTR3	ENST00000211998.4
UTR3 (ENST00000212015.6)	chr10	69676360	69676409	50	chr10:69676360-69676409|Locus_2548	group1	protein_coding	SIRT1	UTR3	ENST00000212015.6
CDS (ENST00000214869.2, CDS 4 of 4, 183bp)	chr19	10945947	10946826	880	chr19:10945947-10946826|Locus_662	group1	protein_coding	TMED1	CDS	ENST00000214869.2
UTR3 (ENST00000214869.2)	chr19	10943205	10943254	50	chr19:10943205-10943254|Locus_1648	group1	protein_coding	TMED1	UTR3	ENST00000214869.2
UTR3 (ENST00000214869.2)	chr19	10943330	10943404	75	chr19:10943330-10943404|Locus_1649	group1	protein_coding	TMED1	UTR3	ENST00000214869.2
UTR3 (ENST00000214869.2)	chr19	10943430	10943479	50	chr19:10943430-10943479|Locus_1650	group1	protein_coding	TMED1	UTR3	ENST00000214869.2
CDS (ENST00000215567.5, CDS 2 of 13, 51bp)	chr19	14655932	14674015	18084	chr19:14655932-14674015|Locus_6549	group1	protein_coding	TECR	CDS	ENST00000215567.5
CDS (ENST00000215570.3, CDS 3 of 3, 120bp)	chr19	2427281	2427419	139	chr19:2427281-2427419|Locus_3000	group1	protein_coding	TIMM13	CDS	ENST00000215570.3
UTR3 (ENST00000215570.3)	chr19	2426472	2426821	350	chr19:2426472-2426821|Locus_3001	group1	protein_coding	TIMM13	UTR3	ENST00000215570.3
CDS (ENST00000215574.4, CDS 5 of 5, 214bp)	chr19	541543	541792	250	chr19:541543-541792|Locus_8845	group1	protein_coding	CDC34	CDS	ENST00000215574.4
UTR3 (ENST00000215574.4)	chr19	541968	542087	120	chr19:541968-542087|Locus_8846	group1	protein_coding	CDC34	UTR3	ENST00000215574.4
CDS (ENST00000215582.6, CDS 1 of 4, 1780bp)	chr19	757214	757713	500	chr19:757214-757713|Locus_1120	group1	protein_coding	MISP	CDS	ENST00000215582.6
CDS (ENST00000215631.4, CDS 1 of 4, 44bp)	chr19	2476223	2476372	150	chr19:2476223-2476372|Locus_4078	group1	protein_coding	GADD45B	CDS	ENST00000215631.4
UTR3 (ENST00000215631.4)	chr19	2477857	2478256	400	chr19:2477857-2478256|Locus_4079	group1	protein_coding	GADD45B	UTR3	ENST00000215631.4
UTR3 (ENST00000215739.8)	chr22	21351756	21352305	550	chr22:21351756-21352305|Locus_1422	group1	protein_coding	LZTR1	UTR3	ENST00000215739.8
CDS (ENST00000215742.4, CDS 1 of 4, 553bp)	chr22	21354061	21354560	500	chr22:21354061-21354560|Locus_7283	group1	protein_coding	THAP7	CDS	ENST00000215742.4
CDS (ENST00000215754.7, CDS 1 of 3, 108bp)	chr22	24236590	24236689	100	chr22:24236590-24236689|Locus_3984	group1	protein_coding	MIF	CDS	ENST00000215754.7
CDS (ENST00000215790.7, CDS 1 of 9, 477bp)	chr22	30688209	30688433	225	chr22:30688209-30688433|Locus_6341	group1	protein_coding	TBC1D10A	CDS	ENST00000215790.7
CDS (ENST00000215829.3, CDS 1 of 3, 126bp)	chr22	24952018	24953652	1635	chr22:24952018-24953652|Locus_6396	group1	protein_coding	SNRPD3	CDS	ENST00000215829.3
CDS (ENST00000215917.7, CDS 7 of 7, 210bp)	chr22	26887508	26887904	397	chr22:26887508-26887904|Locus_3861	group1	protein_coding	SRRD	CDS	ENST00000215917.7
CDS (ENST00000215957.6, CDS 16 of 16, 122bp)	chr22	38336796	38337370	575	chr22:38336796-38337370|Locus_7869	group1	protein_coding	MICALL1	CDS	ENST00000215957.6
UTR3 (ENST00000216014.4)	chr22	38878848	38879022	175	chr22:38878848-38879022|Locus_659	group1	protein_coding	KDELR3	UTR3	ENST00000216014.4
UTR3 (ENST00000216038.5)	chr22	32783787	32783936	150	chr22:32783787-32783936|Locus_4447	group1	protein_coding	RTCB	UTR3	ENST00000216038.5
CDS (ENST00000216039.5, CDS 4 of 4, 185bp)	chr22	39095825	39096074	250	chr22:39095825-39096074|Locus_8828	group1	protein_coding	JOSD1	CDS	ENST00000216039.5
UTR3 (ENST00000216039.5)	chr22	39083573	39083847	275	chr22:39083573-39083847|Locus_8829	group1	protein_coding	JOSD1	UTR3	ENST00000216039.5
UTR3 (ENST00000216117.8)	chr22	35789618	35789717	100	chr22:35789618-35789717|Locus_3482	group1	protein_coding	HMOX1	UTR3	ENST00000216117.8
UTR3 (ENST00000216122.4)	chr22	35820275	35820495	221	chr22:35820275-35820495|Locus_3944	group1	protein_coding	MCM5	UTR3	ENST00000216122.4
CDS (ENST00000216160.6, CDS 11 of 11, 208bp)	chr22	39826138	39826737	600	chr22:39826138-39826737|Locus_139	group1	protein_coding	TAB1	CDS	ENST00000216160.6
UTR3 (ENST00000216160.6)	chr22	39826913	39827187	275	chr22:39826913-39827187|Locus_140	group1	protein_coding	TAB1	UTR3	ENST00000216160.6
CDS (ENST00000216181.5, CDS 40 of 40, 333bp)	chr22	36745190	36783948	38759	chr22:36745190-36783948|Locus_4080	group1	protein_coding	MYH9	CDS	ENST00000216181.5
CDS (ENST00000216181.5, CDS 14 of 40, 207bp)	chr22	36689521	36690200	680	chr22:36689521-36690200|Locus_4081	group1	protein_coding	MYH9	CDS	ENST00000216181.5
UTR3 (ENST00000216181.5)	chr22	36678323	36678672	350	chr22:36678323-36678672|Locus_4082	group1	protein_coding	MYH9	UTR3	ENST00000216181.5
UTR3 (ENST00000216214.3)	chr22	45736433	45736707	275	chr22:45736433-45736707|Locus_4901	group1	protein_coding	FAM118A	UTR3	ENST00000216214.3
UTR3 (ENST00000216237.5)	chr22	41626337	41626786	450	chr22:41626337-41626786|Locus_7509	group1	protein_coding	L3MBTL2	UTR3	ENST00000216237.5
UTR3 (ENST00000216237.5)	chr22	41626837	41627136	300	chr22:41626837-41627136|Locus_7510	group1	protein_coding	L3MBTL2	UTR3	ENST00000216237.5
UTR3 (ENST00000216237.5)	chr22	41627162	41627275	114	chr22:41627162-41627275|Locus_7511	group1	protein_coding	L3MBTL2	UTR3	ENST00000216237.5
UTR3 (ENST00000216252.3)	chr22	41855871	41856245	375	chr22:41855871-41856245|Locus_7764	group1	protein_coding	PHF5A	UTR3	ENST00000216252.3
CDS (ENST00000216254.4, CDS 18 of 18, 135bp)	chr22	41924503	41925277	775	chr22:41924503-41925277|Locus_1626	group1	protein_coding	ACO2	CDS	ENST00000216254.4
CDS (ENST00000216254.4, CDS 16 of 18, 133bp)	chr22	41923203	41923602	400	chr22:41923203-41923602|Locus_1627	group1	protein_coding	ACO2	CDS	ENST00000216254.4
