Annotation Cluster 1	Enrichment Score: 2.0389579489268073
UP_KEYWORDS	Zinc-finger	29	8.787878787878787	0.06726245482064261	23526, 114804, 9146, 11083, 199990, 92822, 64852, 23609, 6477, 116986, 55120, 23081, 51123, 142678, 340385, 10336, 94059, 9970, 5894, 221037, 203523, 5590, 64718, 140685, 11177, 140545, 90326, 83860, 8878	242	1781	20581	1.3847940380787096	0.9999999970340261	0.7151082479797645	0.7049648685757962
UP_KEYWORDS	Metal-binding	53	16.060606060606062	0.06846781097678596	9146, 23526, 199990, 92822, 23609, 6477, 55120, 63826, 23081, 6709, 51123, 239, 3675, 50, 10213, 10336, 10020, 10939, 65018, 221037, 29799, 5590, 64718, 2312, 140685, 388697, 83860, 4216, 114804, 11083, 64852, 116986, 57404, 147968, 84864, 55627, 142678, 340385, 94059, 9970, 5894, 5499, 203523, 384, 2774, 284106, 1760, 11177, 140545, 90326, 109, 8878, 10004	242	3640	20581	1.2382992007992006	0.9999999979403267	0.7151082479797645	0.7049648685757962
UP_KEYWORDS	Zinc	36	10.909090909090908	0.07999763888215188	23526, 114804, 9146, 11083, 199990, 92822, 64852, 23609, 6477, 116986, 55120, 23081, 353174, 51123, 142678, 340385, 10213, 10336, 94059, 9970, 5894, 10020, 10939, 221037, 29799, 203523, 5590, 55630, 64718, 140685, 11177, 140545, 90326, 83860, 8878, 10004	242	2348	20581	1.3039337153476847	0.9999999999385557	0.7519778054922277	0.7413114536412742
GOTERM_MF_DIRECT	GO:0046872~metal ion binding	32	9.696969696969697	0.19803508619461138	23526, 9146, 199990, 92822, 64852, 116986, 55120, 51123, 55627, 142678, 3675, 340385, 50, 10213, 10336, 94059, 5894, 10020, 5499, 221037, 29799, 203523, 384, 5590, 2774, 284106, 140685, 1760, 90326, 109, 4216, 10004	217	2069	16881	1.2031725738518797	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0008270~zinc ion binding	16	4.848484848484849	0.5341837655523682	114804, 11083, 9970, 92822, 23609, 6477, 10939, 23081, 64718, 353174, 11177, 140545, 142678, 83860, 8878, 10336	217	1169	16881	1.064740827758571	1.0	1.0	1.0

Annotation Cluster 5	Enrichment Score: 1.0696928289510348
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0006418~tRNA aminoacylation for protein translation	4	1.2121212121212122	0.013733503555102281	4141, 10352, 3035, 55152	212	40	16792	7.920754716981132	0.9999994554542039	1.0	1.0
UP_KEYWORDS	Aminoacyl-tRNA synthetase	3	0.9090909090909091	0.07291112008475045	4141, 10352, 3035	242	38	20581	6.714114832535885	0.9999999994651563	0.7171386431582556	0.7069664638226775
KEGG_PATHWAY	hsa00970:Aminoacyl-tRNA biosynthesis	3	0.9090909090909091	0.1995274573754088	4141, 10352, 3035	87	66	6879	3.5940438871473352	1.0	1.0	1.0
UP_KEYWORDS	Protein biosynthesis	4	1.2121212121212122	0.26342130782445494	4141, 27102, 10352, 3035	242	152	20581	2.238038277511962	1.0	1.0	0.9893238434163701

Annotation Cluster 6	Enrichment Score: 1.0674145078792308
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0000209~protein polyubiquitination	8	2.4242424242424243	0.008696965762475601	8454, 64718, 5695, 10273, 6477, 142678, 5713, 10213	212	184	16792	3.4438063986874488	0.9998895127357583	1.0	1.0
UP_KEYWORDS	Proteasome	4	1.2121212121212122	0.024178747773925948	5695, 11047, 5713, 10213	242	53	20581	6.418524871355061	0.9989944196283174	0.3720080085118971	0.36673129917130276
GOTERM_BP_DIRECT	GO:0006521~regulation of cellular amino acid metabolic process	4	1.2121212121212122	0.026191239551902386	5695, 51686, 5713, 10213	212	51	16792	6.2123566407695145	0.9999999999990493	1.0	1.0
GOTERM_BP_DIRECT	GO:0060071~Wnt signaling pathway, planar cell polarity pathway	5	1.5151515151515151	0.02873314154551166	8322, 10082, 5695, 5713, 10213	212	92	16792	4.304757998359311	0.9999999999999377	1.0	1.0
GOTERM_CC_DIRECT	GO:0000502~proteasome complex	4	1.2121212121212122	0.03550602553799021	5695, 11047, 5713, 10213	220	60	18224	5.522424242424242	0.9999583547240621	0.8282067072488695	0.8222697416055084
GOTERM_BP_DIRECT	GO:0002223~stimulatory C-type lectin receptor signaling pathway	5	1.5151515151515151	0.043430905168353934	8454, 5695, 5894, 5713, 10213	212	105	16792	3.771787960467206	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0038061~NIK/NF-kappaB signaling	4	1.2121212121212122	0.05027092986723625	8454, 5695, 5713, 10213	212	66	16792	4.800457404230989	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0090263~positive regulation of canonical Wnt signaling pathway	5	1.5151515151515151	0.0647599014069683	5695, 1453, 9736, 5713, 10213	212	120	16792	3.300314465408805	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0051437~positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition	4	1.2121212121212122	0.07062601670218172	8454, 5695, 5713, 10213	212	76	16792	4.168818272095333	1.0	1.0	1.0
KEGG_PATHWAY	hsa03050:Proteasome	3	0.9090909090909091	0.104372065296097	5695, 5713, 10213	87	44	6879	5.391065830721003	0.9999999984458817	1.0	1.0
GOTERM_BP_DIRECT	GO:0043161~proteasome-mediated ubiquitin-dependent protein catabolic process	6	1.8181818181818181	0.11281050239463904	8454, 5695, 10273, 6477, 5713, 10213	212	203	16792	2.3411097685658517	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0000165~MAPK cascade	7	2.1212121212121215	0.1133678555844085	6709, 6464, 5695, 5894, 4216, 5713, 10213	212	262	16792	2.116232176292669	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0090090~negative regulation of canonical Wnt signaling pathway	5	1.5151515151515151	0.14916172134967276	79412, 5695, 10297, 5713, 10213	212	163	16792	2.429679361037157	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0038095~Fc-epsilon receptor signaling pathway	5	1.5151515151515151	0.18544369953669204	8454, 6464, 5695, 5713, 10213	212	178	16792	2.224931100275599	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0033209~tumor necrosis factor-mediated signaling pathway	4	1.2121212121212122	0.185537906614839	5695, 5713, 10213, 84817	212	118	16792	2.6850015989766547	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0002479~antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent	3	0.9090909090909091	0.18757087493541136	5695, 5713, 10213	212	63	16792	3.7717879604672055	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0051436~negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle	3	0.9090909090909091	0.22429686441383256	5695, 5713, 10213	212	71	16792	3.346797767738507	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0031145~anaphase-promoting complex-dependent catabolic process	3	0.9090909090909091	0.26150637157181933	5695, 5713, 10213	212	79	16792	3.0078815380941006	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0050852~T cell receptor signaling pathway	4	1.2121212121212122	0.28498263014153224	8454, 5695, 5713, 10213	212	148	16792	2.1407445181030087	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0043488~regulation of mRNA stability	3	0.9090909090909091	0.3721047589402102	5695, 5713, 10213	212	103	16792	2.307015936984796	1.0	1.0	1.0

Annotation Cluster 7	Enrichment Score: 1.0418394541015725
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0006511~ubiquitin-dependent protein catabolic process	8	2.4242424242424243	0.008218371694112082	8454, 10273, 6477, 65018, 11047, 9736, 8878, 10213	212	182	16792	3.4816504250466513	0.9998172111359757	1.0	1.0
GOTERM_BP_DIRECT	GO:0000209~protein polyubiquitination	8	2.4242424242424243	0.008696965762475601	8454, 64718, 5695, 10273, 6477, 142678, 5713, 10213	212	184	16792	3.4438063986874488	0.9998895127357583	1.0	1.0
UP_KEYWORDS	Ligase	10	3.0303030303030303	0.021539450955287164	10998, 64718, 4141, 10273, 23609, 6477, 10352, 3035, 142678, 55120	242	347	20581	2.4508776526067595	0.9978461463168292	0.3720080085118971	0.36673129917130276
KEGG_PATHWAY	hsa04120:Ubiquitin mediated proteolysis	5	1.5151515151515151	0.09190182510382956	8454, 57448, 10273, 6477, 55120	87	137	6879	2.885728668512459	0.999999980210459	1.0	1.0
GOTERM_BP_DIRECT	GO:0043161~proteasome-mediated ubiquitin-dependent protein catabolic process	6	1.8181818181818181	0.11281050239463904	8454, 5695, 10273, 6477, 5713, 10213	212	203	16792	2.3411097685658517	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0016874~ligase activity	7	2.1212121212121215	0.13243345123610778	64718, 57448, 10273, 23609, 6477, 142678, 55120	217	270	16881	2.0168458781362006	1.0	1.0	1.0
UP_KEYWORDS	Ubl conjugation pathway	12	3.6363636363636362	0.17551983799171555	8454, 64718, 57448, 10273, 23609, 6477, 142678, 84971, 9736, 140459, 55120, 10213	242	680	20581	1.5008021390374333	1.0	1.0	0.9893238434163701
GOTERM_MF_DIRECT	GO:0061630~ubiquitin protein ligase activity	5	1.5151515151515151	0.21831260615982132	8454, 10273, 6477, 142678, 55120	217	187	16881	2.080016757436112	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0004842~ubiquitin-protein transferase activity	7	2.1212121212121215	0.24557368947779584	8454, 64718, 57448, 10273, 6477, 142678, 55120	217	329	16881	1.6551622708108638	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0031625~ubiquitin protein ligase binding	6	1.8181818181818181	0.3042832235265718	8322, 8454, 10273, 65018, 8878, 55120	217	287	16881	1.6263266911800125	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0042787~protein ubiquitination involved in ubiquitin-dependent protein catabolic process	3	0.9090909090909091	0.5725871570648641	8454, 10273, 6477	212	153	16792	1.5530891601923789	1.0	1.0	1.0

Annotation Cluster 8	Enrichment Score: 1.04130333727457
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
INTERPRO	IPR013083:Zinc finger, RING/FYVE/PHD-type	13	3.939393939393939	0.008850295054801633	114804, 9146, 11083, 10273, 23609, 6477, 55120, 23081, 11177, 140545, 142678, 83860, 10336	224	453	18559	2.37767068748029	0.9919187831063565	1.0	1.0
INTERPRO	IPR001841:Zinc finger, RING-type	7	2.1212121212121215	0.1450322564351002	114804, 64718, 23609, 6477, 140545, 142678, 10336	224	295	18559	1.9659957627118645	1.0	1.0	1.0
UP_SEQ_FEATURE	zinc finger region:RING-type	6	1.8181818181818181	0.1478556904785533	114804, 64718, 23609, 6477, 55120, 10336	244	230	20063	2.1450106913756235	1.0	1.0	1.0
SMART	SM00184:RING	5	1.5151515151515151	0.36018552342947174	114804, 23609, 140545, 142678, 10336	126	244	10057	1.6356036950299244	1.0	1.0	1.0

Annotation Cluster 9	Enrichment Score: 0.9743263801804037
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	ATP-binding	27	8.181818181818182	0.012432441520084762	7444, 64794, 64852, 63922, 63826, 10998, 4629, 55760, 27102, 1453, 953, 10352, 10131, 23517, 4141, 5894, 10020, 3035, 65018, 10939, 3099, 5590, 1760, 196385, 11011, 109, 4216	242	1391	20581	1.6507744591856741	0.9706342013428564	0.3505948508663903	0.3456218742583564
UP_KEYWORDS	Nucleotide-binding	32	9.696969696969697	0.017756100688837505	7444, 64794, 64852, 116986, 84617, 63922, 63826, 10998, 4629, 55760, 27102, 1453, 953, 10352, 10131, 23517, 4141, 5870, 5894, 10020, 3035, 65018, 10939, 29899, 3099, 5590, 2774, 1760, 196385, 11011, 109, 4216	242	1788	20581	1.5220663005897905	0.99360480327303	0.3720080085118971	0.36673129917130276
GOTERM_BP_DIRECT	GO:0018105~peptidyl-serine phosphorylation	6	1.8181818181818181	0.020829482633491728	7444, 1453, 1760, 11011, 65018, 5590	212	125	16792	3.8019622641509434	0.9999999997080983	1.0	1.0
GOTERM_MF_DIRECT	GO:0005524~ATP binding	29	8.787878787878787	0.02640882435782578	7444, 64794, 64852, 63922, 63826, 10998, 4629, 55760, 27102, 1453, 953, 10352, 10131, 23517, 4141, 5894, 10020, 3035, 65018, 10939, 3099, 55152, 5590, 1760, 196385, 11011, 6853, 109, 4216	217	1495	16881	1.5090208529198712	0.9999637028734172	1.0	1.0
INTERPRO	IPR008271:Serine/threonine-protein kinase, active site	9	2.727272727272727	0.03479642406973455	7444, 27102, 5894, 1453, 1760, 11011, 65018, 4216, 5590	224	312	18559	2.3899811126373627	0.9999999953926008	1.0	1.0
UP_SEQ_FEATURE	binding site:ATP	12	3.6363636363636362	0.07799166518475886	4141, 7444, 27102, 5894, 1453, 1760, 11011, 10131, 65018, 3099, 4216, 5590	244	558	20063	1.7682883835713026	1.0	1.0	1.0
SMART	SM00220:S_TKc	9	2.727272727272727	0.07849897987037076	7444, 27102, 5894, 1453, 1760, 11011, 65018, 4216, 5590	126	359	10057	2.000994826900119	0.9999757642399953	1.0	1.0
UP_KEYWORDS	Serine/threonine-protein kinase	9	2.727272727272727	0.0920229655492665	7444, 27102, 5894, 1453, 1760, 11011, 65018, 4216, 5590	242	393	20581	1.9476058292852187	0.9999999999984964	0.818590510301865	0.8069792973897818
UP_SEQ_FEATURE	nucleotide phosphate-binding region:ATP	18	5.454545454545454	0.09618236770152273	23517, 7444, 64794, 10020, 5894, 65018, 10939, 63922, 5590, 4629, 55760, 27102, 1453, 1760, 196385, 11011, 11066, 4216	244	994	20063	1.4889913249991753	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0004674~protein serine/threonine kinase activity	8	2.4242424242424243	0.20845565328782698	7444, 5894, 1453, 1760, 11011, 65018, 8878, 5590	217	376	16881	1.6551622708108638	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0006468~protein phosphorylation	9	2.727272727272727	0.2163298222917209	57448, 7444, 5894, 1453, 1760, 11011, 65018, 8878, 5590	212	456	16792	1.5633068520357496	1.0	1.0	1.0
UP_SEQ_FEATURE	domain:Protein kinase	9	2.727272727272727	0.225340818358593	7444, 27102, 5894, 1453, 1760, 11011, 65018, 4216, 5590	244	478	20063	1.548177172645586	1.0	1.0	1.0
INTERPRO	IPR000719:Protein kinase, catalytic domain	9	2.727272727272727	0.2286716930345869	7444, 27102, 5894, 1453, 1760, 11011, 65018, 4216, 5590	224	487	18559	1.531158330888824	1.0	1.0	1.0
UP_KEYWORDS	Kinase	12	3.6363636363636362	0.24504375459195835	9146, 7444, 27102, 10020, 5894, 1453, 1760, 11011, 65018, 3099, 4216, 5590	242	735	20581	1.3884972170686458	1.0	1.0	0.9893238434163701
UP_KEYWORDS	Transferase	24	7.2727272727272725	0.27160739172878173	9146, 10090, 7298, 8694, 7444, 25917, 10020, 5894, 64852, 65018, 3099, 126792, 28989, 5590, 57448, 27102, 3038, 1376, 1453, 1760, 11011, 51106, 8888, 4216	242	1708	20581	1.195018096657441	1.0	1.0	0.9893238434163701
UP_SEQ_FEATURE	active site:Proton acceptor	11	3.3333333333333335	0.2947549479262814	7444, 27102, 1376, 5894, 1453, 1760, 11011, 65018, 4216, 5590, 3292	244	672	20063	1.345951649102264	1.0	1.0	1.0
INTERPRO	IPR011009:Protein kinase-like domain	9	2.727272727272727	0.30683969426783986	7444, 27102, 5894, 1453, 1760, 11011, 65018, 4216, 5590	224	531	18559	1.404282687651332	1.0	1.0	1.0
INTERPRO	IPR017441:Protein kinase, ATP binding site	7	2.1212121212121215	0.30780394681441725	27102, 5894, 1453, 1760, 11011, 4216, 5590	224	381	18559	1.522227690288714	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0004672~protein kinase activity	7	2.1212121212121215	0.3118992233077789	7444, 5894, 1453, 1760, 65018, 4216, 5590	217	359	16881	1.5168478749213765	1.0	1.0	1.0

Annotation Cluster 10	Enrichment Score: 0.882868717504871
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_SEQ_FEATURE	metal ion-binding site:Iron; catalytic	3	0.9090909090909091	0.036502677148024444	23081, 239, 221037	244	25	20063	9.86704918032787	0.9999999999999871	1.0	1.0
UP_SEQ_FEATURE	domain:JmjC	3	0.9090909090909091	0.057131258515133204	23081, 84864, 221037	244	32	20063	7.708632172131147	1.0	1.0	1.0
INTERPRO	IPR003347:JmjC domain	3	0.9090909090909091	0.059493255609577356	23081, 84864, 221037	224	33	18559	7.532061688311688	0.9999999999999963	1.0	1.0
UP_KEYWORDS	Dioxygenase	4	1.2121212121212122	0.07374830018294118	23081, 84864, 239, 221037	242	83	20581	4.098576122672508	0.9999999995854442	0.7171386431582556	0.7069664638226775
UP_KEYWORDS	Iron	7	2.1212121212121215	0.18125292826665262	23081, 57404, 284106, 84864, 239, 221037, 50	242	324	20581	1.837401795735129	1.0	1.0	0.9893238434163701
UP_KEYWORDS	Oxidoreductase	8	2.4242424242424243	0.5251972225033551	23081, 8564, 57404, 26330, 84864, 239, 221037, 3292	242	582	20581	1.169009684473602	1.0	1.0	0.9893238434163701
GOTERM_BP_DIRECT	GO:0055114~oxidation-reduction process	7	2.1212121212121215	0.7583911684335529	23081, 8564, 57404, 84864, 221037, 84817, 3292	212	592	16792	0.9365757266700663	1.0	1.0	1.0

Annotation Cluster 11	Enrichment Score: 0.8823464855258206
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
INTERPRO	IPR011011:Zinc finger, FYVE/PHD-type	5	1.5151515151515151	0.09040074090086779	23081, 9146, 11083, 11177, 83860	224	141	18559	2.9380382472137794	1.0	1.0	1.0
INTERPRO	IPR001965:Zinc finger, PHD-type	4	1.2121212121212122	0.09194580312390747	23081, 11083, 11177, 83860	224	89	18559	3.723715890850722	1.0	1.0	1.0
SMART	SM00249:PHD	4	1.2121212121212122	0.0988807002581609	23081, 11083, 11177, 83860	126	89	10057	3.587301587301587	0.9999986765794652	1.0	1.0
UP_SEQ_FEATURE	zinc finger region:PHD-type	3	0.9090909090909091	0.1308810710947058	11083, 11177, 83860	244	52	20063	4.743773644388399	1.0	1.0	1.0
INTERPRO	IPR019786:Zinc finger, PHD-type, conserved site	3	0.9090909090909091	0.19245904636114664	11083, 11177, 83860	224	67	18559	3.7098214285714284	1.0	1.0	1.0
INTERPRO	IPR019787:Zinc finger, PHD-finger	3	0.9090909090909091	0.24540899843867614	11083, 11177, 83860	224	79	18559	3.1463042495479203	1.0	1.0	1.0

Annotation Cluster 12	Enrichment Score: 0.8086436733138129
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_SEQ_FEATURE	zinc finger region:Phorbol-ester/DAG-type	3	0.9090909090909091	0.10310348220547501	23526, 5894, 5590	244	45	20063	5.481693989071038	1.0	1.0	1.0
INTERPRO	IPR002219:Protein kinase C-like, phorbol ester/diacylglycerol binding	3	0.9090909090909091	0.18811072073520957	23526, 5894, 5590	224	66	18559	3.766030844155844	1.0	1.0	1.0
SMART	SM00109:C1	3	0.9090909090909091	0.1933668841962437	23526, 5894, 5590	126	65	10057	3.6838827838827837	0.9999999999992623	1.0	1.0

Annotation Cluster 13	Enrichment Score: 0.7723933588181489
